"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"mSp_rep7_178",0.00420521462318327,0,0.00399268426528082,0,0.00853200840466009,0,0.0178151510585752,0,0,0.00764330358988444,0,0,0.00423278331312265,0.0074133936248514,0,0.000545466239502687,0.000524926067076787,0.00148790108018664,0.0173571741023934,0.000222225273677114,0.000994369231660414,0.0047526848693882,0,0,0.0076671067391925,0.0009152042018127,0,0,0.0105519431309324,0.00712972890387263
"mSp_rep7_374",0.00333672999602089,7.39971568556811e-06,0.00191683392355193,0,0,0,0,0,0,0.000116554283387402,0.0220267220304411,0,0,0.00668415885065764,0,0,0,0.0099000117705525,0,0.0238102121658692,0,0,0,0.000763381469369831,0,0,7.00756428015852e-06,0,0,0
"mSp_rep7_098",0,0.00281883445669867,0,0,0.00615535001568159,0,0,0,0,0.00747511168889171,0.00258693146414042,0,0,0.0173872162358798,0.00530365686657441,0,0.00133114491431536,0,0.00281394239333944,0,0,0.000797884883626382,0.000877174094652537,0.00113594538249926,0,0,0,0,0,0.00245390913583817
"mSp_rep7_310",0,0,0,0,6.61521000171383e-05,0,0.0148697748099776,0,3.4202497261245e-05,0,0.00760317353393324,0,0,0.000351347767355898,0.0285113332870178,0,0.00140622939956846,0.00466737295288969,0.00135601990661322,0,0,0,0.0007754616266919,0.00123937538702419,0,0,0,0,0.000393390693116429,0.00157331162183581
"mSp_rep7_327",0,2.80201163044492e-06,0,0,0.0289099763423328,0,0.00122765788907234,0,0.000430440367465967,0.00156373093802761,0.0012002183834922,0,4.65956508331821e-05,0,0,0,0,0,0.0028152720638542,0,0,0,0,0,0.000906796197634656,0.0013947947915941,0,0,0.00288264104385606,0.00250273258221417
"mSp_rep7_144",0.0326092088839251,0,0.000228657157485264,5.15451700012307e-06,0.00215143951126685,0.00251497269571567,0.00250190214954977,0,0,0.000973306493602715,0.00393592655740381,0,0.125396261682981,0.00837589415093637,0,0.00022714812179269,0,0,0,0,0,0.00438167981369186,0,0.00206777955063701,0,0.00835914032920542,8.44470538361227e-06,0,0,0
"mSp_rep7_169",0.000431504185900216,0,0,0,0.00639062782472657,0.000987281262953646,0.000166565699588448,0.000573404343062245,0,0,0,0.000956474651909082,1.80918401598085e-06,0,0.00175267744630744,0,0.0710396647857424,0,0,0,0,0.00176462343565802,0.00160791862998464,0.00118294214458868,0,0.00834860807116277,0.0170776342510268,0,0,0
"mSp_rep7_264",0,7.39971568556811e-06,0,0,0.00242740436364409,0.000808602161260399,0,0.00100475260427392,0,0,0.0195045039148572,0,0.00355567254527792,0,0,0.000233935047451738,0,0.00501629706345763,0,0.0352842487560188,0.00160123103616346,0,0,0,0.00260292551908694,0.000108854384247908,7.00756428015852e-06,0.00153663660519513,0,0
"mSp_rep7_294",0.000119786889164447,0,0,0,0.00340659933800264,0,0.000806467713688976,0,0,0.0127003227648889,4.22659812578884e-05,0,0,0.00307698911632589,0,0,0.00135124794376811,0.00223980285775198,0.00157643849423831,0.000855369936083908,0.000421305480114966,0,0.000221707158880791,0.000791973892072454,0.0169228388498098,0,0,0.000259057420267184,0.000559864197010847,0.00109624410002278
"mSp_rep7_072",0,0.00312309635800508,0,0,0.00324996383677472,0,0,0,0,0,0.00113197549804213,0.00567365771568561,0,0,0.0344914340507342,0.000650102103703877,0,0.00328599359101613,0,0,0,0,0.0990918057064106,0,0,0.016134311924907,1.26888543428088e-05,5.85759432533883e-06,0.00277045235652998,0
"mSp_rep7_084",0.012507485772992,0,0.00176493853614084,0.00519252485159061,0,0.000427184946293332,0,0.00154808328998709,0.000351844396105821,0.00280836773058163,0.00406732532706939,0.0336927525480327,0.00259068236488666,0.00181419834310873,0,0.00378383712874885,0,0.0024346900972094,0.0143708055264521,0.00214615709826178,0.000631865591703336,0.00356729568777264,0.00205176611753804,0.0405700260034315,0,0.00327310963833464,0.000390786406268537,0.00364438201029354,0.00114446901633863,0
"mSp_rep7_044",0,2.80201163044492e-06,0.000934164202938061,0.000258647013087023,0.0226124268440744,0.00149113832132145,0,0.00123291504700266,0.000412293801435989,0.0077241926244261,0.00105565590682942,0,0,0.00823784065239976,0,0.00111745851993579,0.00209337941764708,0,0,0,0.00234399015982057,0,0,0,0,0.00193389810055184,0,0,0.000998581201250295,0.00147855581068243
"mSp_rep7_289",0,2.52943201503615e-05,0,0,0,0,0,0,0,0.0178039369130047,0.00345522646538661,0,0,0.000477929142746431,0.0013985136531734,0.000207317648180984,0,4.26123504861591e-07,0.00412270079055652,0,0.000259410464747387,0,0.000810031143808932,0.000355117995735156,0.00695842196491247,0.00200400541599215,0,0,0,0.00199747979412507
"mSp_rep7_195",0,0.0013713246811768,0,0.000365503942312285,1.68147700522257e-05,0,0.00200189133948031,0.00113564114223089,0,0.0160610399418696,0,0,0,0.00141736199443792,0,0.000669936799835281,0,0.00443190352417421,0.00243727725700009,0,0,0,0,0,0.0193032491311574,0,0.000425796412994403,0,0,0
"mSp_rep7_171",4.58221164008004e-05,0.00476405531824298,0,8.13061679130958e-05,0.0098561670421637,0.00139383355105688,0.000441667377698205,0.000194156846268088,0,0.00156373093802761,0.00105565590682942,0.000119404846707179,0.000820182797066117,0.0138863905295503,0,0,0,0.00894109824092298,0,0,0.00169235475741128,0.000780351823291267,0,0,0.00617018009775062,0,0,0.0010996846515412,0,0.00409670405857342
"mSp_rep7_202",0,0.00377402140998081,3.32166161842437e-06,0,0.00159399341564999,0,0,0,0.00512164567666798,0.00112147738664465,0.0203058120848734,0,0.00206852306071389,0.00041762099159558,0,0.000282460337327043,0,0.00196851829482935,0.00150611151944239,0.0134880952651257,0,0,9.39715331963827e-06,0,3.94887715501473e-05,0,2.33405448379986e-05,1.05018556470204e-05,0,0
"mSp_rep7_099",0,2.52943201503615e-05,0.000252882954984306,0,0,0,0.00140847117758223,0,0,0.0209099193397125,3.06641373299969e-05,0.0287760270438078,0,0.00323071657772819,0,0,0.000841768678516171,0.00398210053016411,0,0,0.000332301953572715,0.00444991602051148,0.00018244948612471,0,0.00352196531315682,0.00118958445979253,0,0,0,0.00118702360032414
"mSp_rep7_003",0.00135435505665394,0.000841461693413014,0,7.52932017309217e-05,0.00198838746773756,0,0,0,0.000554653743630269,0.0085691734494213,0.000394137483984601,0.000557885820141163,0,0.00931914287641711,0,0,0,0.00228070338530086,0.00104879807696431,0,0.000304814400460593,0.00174236056141237,0,0,0.0170785873159075,0,0.000534034706071345,0,0.00235012024596026,0.00550766358350777
"mSp_rep7_066",0,0.00454228876179301,0,0.000675702147696373,0.00279841212027999,0,0,0,0,0.00870516550559654,0,0,0.0009047113570109,0.00810419425927571,0,0,0,0.00104690513374726,0.00274064458734312,0,0.000496872672524579,0.00143373195858386,0,0.000599043917212639,0.020547281610552,0.00128723043259039,0,0.000465460349342595,0,0.00610247916878763
"mSp_rep7_316",0.00284481055852041,0.00152488189066382,0,1.22854846016827e-05,0.00341674861560383,0,0,0.00858176678051813,0.00569165327882219,0,0.0164837968962892,0.0256878181196785,0,0.00720170699965967,0,0.00413976158775082,0,0.000519780486899367,0,0,1.09270924788707e-05,0,0,0,0,0,3.10344337303767e-05,0.00702024661434493,6.70170337729243e-05,0
"mSp_rep7_133",0,0.00256369851785295,0.00505700859890315,0,0.00857923703160643,0.00464951268884147,0,0,0.00440170931291134,0.0238168881900768,0.00158781785048807,0,0,0,0,0.000337479446804593,0,0.00472642517619246,0.00152739053708269,0,0,0.000877511228867972,0,0,0.00748524086378522,0,0.000792082635312937,0,0,0.00540025201884019
"mSp_rep7_121",0,0,0,0.000380404602554842,0.00252743558642367,0,0.00238110620078249,0,0,0.0143817460785554,0.000502041848832513,0.000190433562826871,0,0.00266758073947218,0,0,0,0.000938053794893296,0.00145109898921446,0,0,0.0044529395829953,0,0,0.00492779393203611,0.0027729932931215,0.000562196998747134,0,0,0.014532212742723
"mSp_rep7_233",4.5859914597062e-05,0,0,5.15451700012307e-06,0.000893462432062339,0,0,0,0.014444249227558,1.3523961546002e-08,0.0102417524196937,0,0.060820543659631,0.00411114582939582,0.0010485979867966,0,0.00148328834267142,0,0,0,0.000598872458504274,0.0175422049144551,0,0,0.00181573405930109,0.00433648120351497,8.44470538361227e-06,0,0,0
"mSp_rep7_021",0,0.0023421743483203,0.00121275323148175,5.15451700012307e-06,0.00365366268723968,0,0,0.000301840012998646,0.0188131202894709,1.3523961546002e-08,0.00361779603171741,0,0.0309971672075858,0.000624621617707464,0,0.000991361452877692,0.00172952917082438,0,0.00245963081513363,0,0.000423394615750752,0,0,0,0,0.000447606244878433,8.44470538361227e-06,0,0.00189225560157027,0
"mSp_rep7_183",0,0.00351343170192574,0,0,0,0,0,0,0.00114758601231952,0.00188968902461606,0,0.00275160992430907,0,0,0.000201484117972644,0.000303420585769563,0.000661742642120859,0.00201894433319565,0,0.000162078913396987,0,0.00787426999610638,0,0,0.0386883238849505,0,0,0,0.000375032416079191,0.00309480292425633
"mSp_rep7_369",0,6.43987154700628e-05,0,0,0.00248616742406511,0.000358486190253931,0.00278731881450466,0.00268438416609029,0,0.0179160108223046,3.06641373299969e-05,0,0,0.00836773290403572,0,0,0,0.00082077114101156,0,0,0.000533055412735279,0,0,0,0.00251762050552981,0,0,0,0,0.00316224199825527
"mSp_rep7_269",0.000381602074295667,0,0.000142996963928408,0,0.00619347865071152,0.000783834140805051,0,0,0.000148926721344585,0.0131025259671124,0,0,0,0,0,0.00609625595912097,0,0,0.00685014801380808,0,0,0.0018244771446421,0,0.00145286351386961,0.014968054094967,0,0,9.13667354702889e-05,0,0.0019960026381539
"mSp_rep7_165",0.00191654445328827,2.80201163044492e-06,0,0,0.024378851493436,0.000107253496407438,0,0.00205298702999321,0,0.00643875557551238,0.00105565590682942,0.00082912948470507,0,0.00885158403464179,0,0.000388135104039625,0.000224451084176653,0,0.000102224070034218,0,0,0,0,0,0.0042150257730845,0,0.000217606602460147,0,0,0.00258659834626846
"mSp_rep7_210",7.29077760483933e-05,0.0121681123170048,0,0.000100910107069031,0.016957441823786,0,0.000402073123881217,0,0,0.0091885848787545,0.00105565590682942,0,0.000871212676140882,0.010502815993443,0.00025270897931298,0.0180978734948784,0.00018330307724464,0,0,0,0,0.0031804200780214,0,0,0.000850896204391464,0.000516919251687255,0,0,0.000190126987244646,0.00178781748556955
"mSp_rep7_120",0,2.80201163044492e-06,0,0.000461010624817973,0.0336617337443566,0,0,0,0.00119803438088999,0.00608466710010944,0.00538173821888976,0,0.000251551530294289,0.0042730075684066,0,0,0,0.000763278882944102,0,0,0,0.00197818979119626,0,0,0,0,0,0,0,0.00713337872130216
