"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"mSp_rep7_098",0.006135547443099,0.00484956810303223,0,0.000230923277661704,0,0,0,0.00109533073354043,0.00527663714402327,0,0.00110538943368131,0,0,0,0,0,0.00238602443976789,0.00148426559419348,5.36487532933872e-05,0.0202683602589388,2.8999356769031e-05,0,0,0.000952804870459389,0.00221916979120559,0,0.000535049306984611,0,0,0
"mSp_rep7_310",0,0.0329011639123508,0,0.00024160020142564,0,0,1.58880836670889e-05,0,0.000272778449751847,0,0.00032930593990813,0,0.00424035406445698,0.0046703240758865,0.000878853454141153,0,0,0.000153184399980918,0,3.51024000440857e-06,7.09306542425386e-05,0,0.000229743692081761,0.000667491972531713,0,0.00285145909383238,0.0159332756352737,0,0,0
"mSp_rep7_327",0.00206845347933054,0,0,0.00132998583728321,0.000106967506698868,0,0,0,0.000616154041874113,0,0,0,0.00299728635122553,0,0.00101818518736252,0,0.000746595294992879,0.0056191216712112,0,0.0307865883597525,2.8999356769031e-05,0.000166606778365098,0,0.00059325672345332,0,0.00131604763701744,0,0,4.56694810608274e-05,0
"mSp_rep7_144",0,0,0,7.08831834020604e-05,0.0777902863642571,0.00543638853423174,0.000777680594265874,7.18827125780627e-05,4.54965763726052e-05,0.00399073545959244,0,0.00438545159847561,0,0,5.41134514926635e-06,0.000160384155789138,0.001304831761935,0,0.00312255968797512,0.00964744254725142,0,0.000155805177944577,0,0,0,0.00403243648144327,0,0.0155333072313651,4.30407539737935e-06,0
"mSp_rep7_169",0,0.00602904879605599,0,0,0,0,0.00658898935370265,0,0,0,0.0646961604776158,0.000799459225348228,0,0.00314056227284716,0.000199765130720252,0.000626214341887253,0,0,0,0.00125243008322936,0,0,0.0048289998354066,0,0,6.13610239512985e-06,0,0,0.0102095907565521,0
"mSp_rep7_264",0,0,0.00184690283050055,0.00850011328489029,0.00402123849675823,1.0660199511497e-05,0,0,4.05481304291471e-06,0.000999697067209732,0,0.000586218130965822,0,0,0.00176649240933891,0.000133999661726985,7.00689064362572e-05,0.0069281492898829,0.000991444329317213,0.00236817028434454,0.0158178623913619,0.000523660869274915,0,0,0.00139465041658322,0,0.00141546675375679,0,1.58991453048839e-05,0.00362360443185633
"mSp_rep7_294",0.000502764963975035,0,0.000622866639506279,0,0,1.20187126020603e-05,5.57792266217456e-06,0,0.0158175813378456,0,0.000961290458290572,0,0.000560169028683462,0.000129222131452001,0.00141170332064638,0.000859508683916092,0.00683724045028915,0.00830972250031472,0.00244885184983567,0.00307350737207139,0.00130581481253148,0,0,0,0,0.0013054445924452,0,0.000521906375715423,0,0
"mSp_rep7_072",0,0.0555701699595631,0,0.00205844760797204,0.000795533806915385,0.00137972692287149,0.0016813324019919,0.00253583627503778,0.000272778449751847,0.0222295394247668,0.00032930593990813,0,0.00770206002774949,0.0421028718512498,0,0.000269040094041221,0.00049093605057975,0.000153184399980918,0,0.00590366508151997,7.09306542425386e-05,0,0.000229743692081761,0,0.0113976826590427,0,0.000205464337289275,0,0,0
"mSp_rep7_084",7.52485907106744e-06,0,0.00115073005020938,0.000129825580919039,0.00299393332584512,0,0.00391841119119455,9.99864425818279e-05,9.24083622434423e-06,0,0,8.12725585149303e-05,0,0,2.48042124195664e-05,0.00118691220407794,0.00505659666905175,0.00149829311247941,0.0626061969084138,0,0.00477634901477732,0.0163191742896245,5.57438861537218e-05,0,0,0,0.00149826872336864,0.0366555931585668,1.08523338951392e-05,0
"mSp_rep7_044",0.00118740983437303,0.0015167233075369,0,1.88200525322304e-06,0,0.000631402069306229,0,0,0.000616154041874113,0.00112579165150971,0.00329613743952164,0.00114571298874977,0.00822004096708678,0,0.000953155996247368,0.000141030745869118,0.000746595294992879,0.00148426559419348,0,0.0337798071395394,2.8999356769031e-05,0.000549857163689794,0,0,0,4.8803610302297e-05,0,0,0,0.000596677638558596
"mSp_rep7_289",0.00528239290579095,0.00316402263577128,0.00087409998945533,0,0,0,0.000196786939167966,0,0.00291438185803097,0.00289906973090245,0.000515741604565251,0.0010271198804755,0,0.0024956974910333,0.00111612319031695,0.00864204529651257,0.00422508923859047,0.00393222220001999,0,0.00128139158374492,0,0,0,0.0177022915083611,0.00564438571078033,0.017609582992725,0,0.00324264156712572,0,0
"mSp_rep7_195",0.00100952586139825,0,0.000235064890690285,0,0,1.20187126020603e-05,5.57792266217456e-06,0.000409565402172197,0.0154412280153571,0,0,0,0,0,0,0.00258982887599453,0.00695362372482926,0.00912551352875458,0,0.000478533045579752,0,0.000780449521553381,0,1.21350157584256e-05,0,0.00285243659947284,0,0,0.000137763606133103,0
