"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"mSp_rep7_178",0.00927886299495113,0,0.0010339668198892,0,0.00313541854529926,0.000795362943254619,0,0,0.00530542034012101,0.000928041992411198,0.000681157772832085,0,0.00152894237397757,0,0,0.00191018389123494,0,0.00101999799704206,0,0.00961229341205333,0,0,0,0.0133967564055963,0,0.0193090554836041,0.00297940416567919,0.00362518222898345,0,0.0012649525924299
"mSp_rep7_374",0.00143483381115017,0,0,0,0.00028617635708394,0.00274236397958242,0.00216485359700101,0,0,0.00123166536834832,0,0.000817445824147837,0,0,0.00254370677527515,0.000738787238625641,0.000163521242657117,0,0.00924245854028837,0.00164489947672892,0.0135356425040877,0,0.000281536281888538,0.022979692962385,0.00283268360896984,0,0.00425259368931309,0.00620481981117644,0,0.0281037998057205
"mSp_rep7_098",0.00939169300258243,0.00669036731501163,0,0.00022556574217452,0,0,0,0.000823561092311333,0.0026381044782814,0.000808107000635063,0.00255105719787105,0,0,0.00138693699744794,0,0.00044245146749207,0.000170276956588171,0,0.0012914426534324,0.0107615156877399,0,0,0.000461491500756275,0.0183528315809931,0.00455066141339978,0.0159232615626594,0.00509245253998535,0,0,0
"mSp_rep7_310",0,0.0232879508845506,0,0,0.0013497590006831,0.0159112444535542,0.00390995622022729,0,0,0.00131085549304024,0,0,0.00551312225215682,0.00888474671248421,0.00330629097165592,0,0,0,0,0,0,0,0,0.0115568290041636,0,0.0121615876189439,0.00981763922951148,0,0,0.000305746413958186
"mSp_rep7_327",0.00694884835844669,0.000821672957034303,0.00156119291600394,0.00150541516103065,0.00156606957407418,0.00126858375525896,0,0,0,0.00138541151184744,0.000211614823518432,0.00106657273537447,0.00769514824715895,0.000209560800862406,0.00261373502192288,0.00108492048192255,0,0.000524413849804523,0,0.0160239938088131,0,0.00112024124699518,0,0.0157186314721426,0.000747484936604632,0.0216125612462174,0.00123592263953656,0,0.000281277035820761,0.00170424099185405
"mSp_rep7_144",0,0.00205691847794764,0,8.81598724412367e-05,0.0219904522827434,0.00194517637971693,0.00285177791634083,9.34517496888736e-05,0,0.00577153339458387,0,0.00430649261009247,0,0,0.0020261786751712,0.00468005373431632,0.00105724873215344,7.73511663902485e-05,0.00425738713044521,0.00563066749300203,0.000742829951640021,0,0,0.0184163167037301,0,0.00629160790763945,0.00123900093536812,0.00833905030015619,0,0.0170384760453233
"mSp_rep7_169",0,0.00347400987143656,0.000801534101980214,0,0,0.0450453158132696,0.00302121001453264,0,0,0.00105975596066108,0.0249935220074359,0.0089562261057989,0.00126506552934512,0.00534625763669363,0,0.00172971019014383,0.000331593276568939,0,0,0.00611015824302722,0,0,0.0062913774909128,0.00135151523206838,0,0,0.00321394247907897,0,0.0182032305871132,0.00146498586722074
"mSp_rep7_264",0,0,0.00255537879648392,0,0.00683391182053091,0,0.00257762377274514,0,0,0.00476258835191836,0,0.00325823849106505,0,0,0.00477986071769001,0.00375888169827914,0,0.0063540787883018,0.0056407066637793,0.00200006555445834,0.0116637022468181,0.000693402626003758,0,0.0196497392130181,0.00356334864019233,0,0.00476580055931111,0,0,0.0307892272992383
"mSp_rep7_294",0.00510090369966991,0.000886718570839891,0.0018039573084649,0,0,0,0,0,0.00676992423353827,0,0.00190225153274381,0.00151182128996476,0.00162054278993342,0.00160085543453949,0.00171892840244426,0.00510894426082733,0.00224966696350422,0.0022111731655587,0.00267947891223528,0.00551483502167361,0.00162132890327872,0,0,0.0161967130202737,0.000318768968425818,0.0198855705082276,0.000929184933468016,0.00220062289777594,0.000192512279944639,0
"mSp_rep7_072",0,0.0317219208867967,0,0.000315459036191244,0.00272789484577648,0.0220716734047288,0.0056663335146108,0.00425624479199724,0,0.0107949404678922,0,0.0026386736998239,0.00836192763709577,0.0342161352647954,0.00197129758045259,0.00708821886881357,0.00178819514575745,0,0,0.00395291923454775,0,0,0,0,0.0104696408593202,0.00499379680492735,0.00386758422694626,0,0,0
