,factor_9
CD185,3.524622
CD319,3.337688
CD40,3.1373048
CD20,3.088739
TIGIT,3.0667503
CD86,2.9436016
HLA-DR,2.8866274
CD267,2.8600435
CD164,2.8325474
CD49b,2.825035
CD161,2.6978872
CD49d,2.598996
CD177,2.5721323
CD279,2.536728
CD54,2.4433992
CD63,2.4430618
CD195,2.425146
CD15,2.360659
CD39,2.3562987
CD25,2.3381772
CD80,2.3199897
CD29,2.2893796
CD49a,2.27026
CD137,2.1980364
CD70,2.1888108
CLEC12A,2.1860409
CD307c/FcRL3,2.107055
CD36,2.0903113
CD112(Nectin-2),2.0646427
CD69,2.0326555
CD155(PVR),1.9550917
CD123,1.9504216
CD134,1.940098
CD117(c-kit),1.9300396
CD273,1.8473253
CD71,1.8331835
CD83,1.774155
IgD,1.7006619
CD1c,1.697332
CD103,1.6243145
IgM,1.5814346
CD271,1.5587139
CD274,1.5249399
CD207,1.5118663
CD196,1.5081532
CD126,1.4941047
C5L2,1.467632
CD171,1.4451156
CD34,1.4104497
CD284,1.3610964
CD309,1.3566008
CD235a,1.3315725
CD133-2,1.2962732
CD235ab,1.2828002
CD42b,1.272173
CD41,1.244593
TSLPR,1.2444828
CD43,1.2058287
CD269(BCMA),1.1819849
CD275-1,1.1742188
CD244,1.1695551
CD26,1.1268328
CD61,1.1244103
CD95,1.0716565
CD140a,1.0258633
CD278,1.020705
CD169,0.9782493
CD268,0.9722207
CD272,0.96802235
CD11a/CD18,0.9592647
CD62E,0.94564223
CD98,0.9429171
CD253,0.9415005
CD21,0.9402015
CD152,0.90249544
CD301,0.88858545
CD18,0.8544898
CD57_Recombinant,0.7911038
CD107a,0.7885219
CD66a/c/e,0.7541293
CD307d,0.7507426
TCR_V_24-J_18,0.7314266
CD2,0.73035145
CLEC1B,0.721865
CD45RO,0.7132743
VEGFR3,0.69233924
CD30,0.68859863
CD1d,0.6868124
CD141,0.67175084
CD44-1,0.6533281
CD146,0.62242144
CD9,0.620312
CD72,0.60165954
CD22,0.5804967
CD96,0.5691797
CD205,0.56473106
CD303,0.5501973
CD85g,0.53854686
CD11c,0.5361417
CD3-1,0.5098908
