,factor_5
CD38-2,4.1534743
CD45RA,4.104033
CD38-1,4.0895247
CD8,3.7083712
CD8a,3.6453364
CD31,3.6417608
CD9,3.0934196
integrin_7,3.0428982
GP130,2.8807144
CD314,2.716748
CD16,2.6299195
CD335,2.6017275
TSLPR,2.3555372
CD45RB,2.2977552
CD27,2.2108176
CD73,2.1134465
CD55,1.9691513
CD3-2,1.9264511
CD61,1.9090323
CD41,1.7841728
CD337,1.7433906
CD66a/c/e,1.7383059
CD305,1.7051088
CD309,1.6395222
CD66b,1.6231394
CD284,1.5995679
CD155(PVR),1.5771551
CD163,1.5530155
CD235ab,1.5359516
CD253,1.51167
Podoplanin,1.5022194
CD171,1.4966451
CD62P,1.4813956
CD124,1.4210507
Galectin-9,1.3810822
CD252,1.3421434
CD223,1.3388062
CD303,1.3235965
B7-H4,1.30638
LOX-1,1.2939316
CD158,1.2829658
CD34,1.2804914
MERTK,1.2794164
CD3-1,1.2715774
CD324,1.2482682
CD56(NCAM)Recombinant,1.2454444
CD135,1.2450087
CD36,1.2419188
Siglec-8,1.2265981
CD57_Recombinant,1.2178081
CD269(BCMA),1.1986132
CD90(Thy1),1.1954422
CD169,1.1937145
CD42b,1.1918496
CD127,1.179653
CD177,1.1795256
CD11b-1,1.149869
CLEC1B,1.1427119
CD123,1.1079226
TCR_V_24-J_18,1.0917226
CD96,1.0821948
CD117(c-kit),1.0795956
CD141,1.0407515
CD105,1.0324485
CD207,1.016457
CD56(NCAM),1.0102859
CD110,0.9711353
CD137,0.93057734
CD103,0.9202095
CD164,0.91889954
CD138-1(Syndecan-1),0.90806884
CD244,0.89853126
CD204,0.89581907
Cadherin11,0.8902504
CLEC12A,0.8849463
Folate_Receptor,0.87879115
CD140b,0.86270833
CD30,0.8622092
CD192,0.8599332
CD122,0.84746665
CD202b,0.84312344
CD64,0.8192327
CD112(Nectin-2),0.79482234
CD62E,0.79366165
XCR1,0.7920174
CD98,0.7916081
CD294,0.7860387
CD115,0.7856013
CD146,0.7639203
CD203c,0.75487185
CD14,0.7480735
CD357,0.7468501
Notch1,0.7420634
CD184,0.7214119
CD307d,0.70270693
CD46,0.68784237
CX3CR1,0.6871597
CD178,0.66446805
CD140a,0.6611046
CD69,0.6561409
