,score
CLIC1,11.143386571710323
TNFRSF4,10.980351272138478
IL32,10.645721863724589
ACTB,10.576729190532319
LTB,10.462429182886979
PDIA6,10.42430126403815
PSME2,10.253230996362106
SEC11C,10.161624477724729
TUBA1B,10.094975131629269
CD99,10.048966605396004
HLA-B,10.02776253312021
GAPDH,10.011240188632087
PRDX1,9.981296672201267
S100A6,9.959471051708135
SEC61B,9.927281094164186
S100A4,9.754356855715685
TXN,9.634314300868141
HSPD1,9.539214139344665
NME1,9.530291597101836
MAF,9.462202919401363
RPS18,9.453978284668096
TUBB,9.377568907318334
CCR4,9.373856039367467
TRAC,9.36375937037326
HSPE1,9.309472018941278
LINC01943,9.280012111361202
HSP90AB1,9.278050580725505
HSP90AA1,9.276288569530777
GPR171,9.260763822247498
IL2RA,9.222917529605468
MIR155HG,9.203697977859804
LTA,9.203679914371321
GSTP1,9.137439459969698
TNFRSF18,9.128584245274851
PPP1R14B,9.126232707501458
S100A10,9.020457845352325
CCND2,8.975834460258625
CALR,8.927766696338324
B2M,8.895586591606275
RNF19A,8.815649086528765
RPL22L1,8.804656632719343
ITGB1,8.783381948624935
PTMA,8.71986004923997
CD40LG,8.704520863247467
DDX21,8.70019712095882
CD3D,8.691036469095081
OSTF1,8.681022727934362
CD2,8.677469147109207
SDF2L1,8.651641642849484
TMSB4X,8.636158770016777
NOP58,8.535115720782471
DBI,8.509003306045315
HSPA8,8.493873492305681
PKM,8.492919411686728
PTPN7,8.39252254269951
RPL32,8.385844799434494
IL7R,8.379550494765908
TAGLN2,8.352817352879072
RAB11FIP1,8.323264664653607
CYTOR,8.301750228802973
RBPJ,8.282982264269378
APOBEC3G,8.256966735515903
CLDND1,8.210105941053314
FRMD4B,8.175664615990286
ACTN4,8.158957531279043
LY6E,8.109482457392403
CDK2AP2,8.099312713376605
SELENOS,8.098341390336827
CD47,8.066098063395089
RPS15A,8.063753094162962
CDK6,8.037656279711314
DNAJC2,8.034197121666864
TRAT1,8.011592307965998
RPS12,7.975076965998085
HERPUD1,7.941169334912956
