,score
CTSZ,10.536813746805365
S100A11,10.242710876190074
CD68,10.021368476572889
SPI1,9.945789016083836
FCER1G,9.757348989876391
ANXA5,9.590483654537081
CYBB,9.489844867633963
DUSP6,9.437974968385504
SLC7A11,9.414436590866728
C15orf48,9.369215762942702
NPC2,9.261105853389154
ANXA2,9.251974618098359
IGSF6,9.245462863212651
PTPN12,9.223453439583352
TIMP1,9.085692415797041
FTL,9.062708230183432
CYP1B1,9.034377324222532
ANPEP,9.024672192425498
TYROBP,9.011385749383521
CTSH,8.981650274827416
KYNU,8.862584607077508
PLEK,8.847325856621922
S100A9,8.84455859170879
NCF2,8.811760283223464
LCP1,8.799784196152814
FTH1,8.799221999253461
LGALS3,8.732069334566859
ATP13A3,8.703888676189138
RAB31,8.695207567879095
VIM,8.662741158768085
PLAUR,8.636944141351364
CXCL16,8.631294462762582
SDCBP,8.612804157731091
CLEC5A,8.594323705000136
CCR1,8.554711299156395
CTSS,8.532013446027122
CTSL,8.525286172067183
C5AR1,8.502402972534071
CDKN1A,8.498318578192993
CXCL8,8.495837645764198
HLA-DRB1,8.488701501332002
TYMP,8.48740777111783
EMP1,8.443041630265327
CTSB,8.439593325077624
LYN,8.3905017745804
C1orf122,8.38628560571965
TMSB10,8.348588856561435
PLEKHO1,8.334572727510988
PTPRE,8.314995590576586
CEBPB,8.292447369261708
S100A10,8.290727527049341
TALDO1,8.289008300605758
TFEC,8.284143727215962
ZEB2,8.26395390034196
S100A6,8.26389601807631
HLA-DMA,8.259705095735683
CD63,8.252563409384436
PDE4DIP,8.214060618888595
CSTB,8.213632043815267
SDC2,8.209205282030553
ATP6V1B2,8.199546332892282
SLC43A2,8.197893609477319
EFHD2,8.177523362349746
SAT1,8.17433368005112
NEAT1,8.160634671924186
IER3,8.155438199160074
IL13RA1,8.154637083972716
RAC1,8.15163274807793
PSAP,8.12419778569705
LYZ,8.117565340129772
NRP1,8.115771605663383
CST3,8.10035768147435
BRI3,8.032884817020317
PLA2G7,8.031913749648709
LIMS1,8.028426651027644
TXNRD1,7.998473810090957
NINJ1,7.9880796330251655
DSE,7.985335151557024
SOD2,7.94349427848573
WARS,7.9430472303488955
LAPTM5,7.936263305660873
FLNA,7.926148071854016
FCGR2A,7.897610267581854
BID,7.831481010613459
RAB13,7.818394076657341
TNFAIP2,7.808003594204251
GRN,7.786268187683618
IL3RA,7.779652983642279
RBM47,7.768347468776881
ARHGAP18,7.76711531544106
IL1B,7.764300636331598
IL4I1,7.752479107225611
ITGAX,7.741124330857531
CYBA,7.7399956266773415
PILRA,7.726041074505247
CD44,7.7108980885809615
ASAP1,7.710185644098431
CSF2RA,7.708837726231309
S100A8,7.705006412860257
CCL3,7.684308576739852
GLIPR2,7.658158723810175
PPP1R15A,7.6532898400388945
ITGB2,7.6388777716606455
GK,7.6347361108227005
PTAFR,7.615779668822086
LILRB2,7.583629149097021
GLUL,7.570483101337686
IQGAP1,7.569091463886934
CLEC4A,7.568197367613266
NAMPT,7.554423235694742
SH3BGRL3,7.547871455838106
SLC16A3,7.527286921173868
MMP9,7.5038212043715475
FERMT3,7.4875014843019585
CD53,7.464039462112339
GSN,7.461758654538187
FNDC3B,7.454034450917732
UPP1,7.450458065823057
LGALS1,7.436494277119209
SQOR,7.426257736861999
CLEC7A,7.420768158156932
SRGN,7.415850628651754
MRC1,7.413484229216692
ICAM1,7.406748334493784
DMXL2,7.377472839218967
MAFB,7.377447592698843
CEP170,7.356217116580694
SMIM25,7.336376430606947
ARHGAP10,7.279857477042924
PGD,7.278596382574278
CD14,7.269726849016479
LILRB3,7.260361005819163
FPR3,7.232211751649402
RAPGEF1,7.21896656511592
CAPG,7.216829231668328
EREG,7.207561295707592
TLN1,7.194849364940637
ENG,7.180592470295835
BACH1,7.167084966260575
AIF1,7.162223471714697
NUMB,7.12366710933469
PPIF,7.117703388666314
MYOF,7.102711881862774
CSF1R,7.101807317519786
TCIRG1,7.093568946965092
ATF5,7.088019638688024
LST1,7.087512860979189
SIRPA,7.083344106314769
TLR2,7.0804610768703355
MGST1,7.079022025223253
TNS3,7.059409173699407
GSTO1,7.054781671291266
CTSD,7.043576526737581
VASP,7.039766149505169
FAM129B,7.031667558464335
ALCAM,7.006940131424585
MXD1,7.004114984245803
SLAMF8,7.003062019625986
PIK3R5,6.993593958810607
SERPINA1,6.9920686995338315
ITPRIPL2,6.931425942426586
CXCL5,6.909004569481112
NCF1,6.889386176038215
APLP2,6.88916819388885
HBEGF,6.885389220864397
CSF2RB,6.879748778807368
SLC31A2,6.878100365773889
DOCK4,6.875022753393864
LEPROT,6.861851459114405
ATP6V0D1,6.812370126977214
DRAM1,6.7677693782181905
HCK,6.7478948249613495
ADGRE2,6.741796250929383
MYO1F,6.731534464152048
LSP1,6.7068390570890415
MRPS6,6.697590825729378
RNF13,6.681299431023831
ZFYVE16,6.67068480873354
GPR68,6.640958570709188
CAMK1,6.622813096196467
AHNAK,6.609913355950539
CMTM6,6.602219325000476
SNX10,6.577653229382008
ACSL1,6.5775953471163575
VMP1,6.560431408044565
COTL1,6.544349990494197
FBP1,6.538689843836096
METRNL,6.529195304963025
DAB2,6.528398500157152
SLC44A1,6.526726072141116
EGR2,6.457386196735456
FGR,6.448895976748304
CXCL3,6.427151333695917
CSGALNACT2,6.422855730662093
S100A12,6.4195367369189285
CD300E,6.41940927278074
ZFAND5,6.4161980385746915
HIP1,6.403446698605592
ABCA1,6.350101417351823
RPS6KA1,6.348188839510215
MT2A,6.330269352141045
LACC1,6.307924950293511
ADAM17,6.295443932820376
KCTD12,6.28067533431647
MCEMP1,6.272312578467506
SMCO4,6.2625507959423885
MT1X,6.26008341042683
EPB41L3,6.255229305106354
SLC2A3,6.249550069615964
SH3BP2,6.2454804537256905
GLRX,6.224615744264952
FCN1,6.223094179600878
TMED5,6.2163164126006905
PLXDC2,6.21242229081372
LHFPL2,6.211765881290489
SLC11A1,6.208510927500811
RHOQ,6.1975440854663475
SERPINB2,6.192190591662438
TGFBI,6.180745297283181
PLEKHO2,6.160091796515189
NECTIN2,6.1528146410315685
SEMA6B,6.143316407545797
TET2,6.137204286600593
IL17RA,6.134150073434341
CASP4,6.1192441584917106
AKIRIN2,6.084394724188485
TNFRSF1B,6.076586160244688
RIT1,6.068738802867529
MTF1,6.061578643452776
AC245128.3,6.045820504513756
DNAJC3,6.042324785129722
CCDC88A,6.031279740459752
RASGEF1B,6.019413876001352
HNMT,6.001402023314654
MT1F,5.9968798173684945
CREG1,5.984127245861828
MITF,5.972109902282682
ADAM10,5.923581164453594
LPCAT2,5.892365381741911
ATXN1,5.889909695833239
CD274,5.887924457275176
SLC1A3,5.85640017440295
OLR1,5.845538628830468
CLEC4E,5.843060159476806
LAPTM4A,5.8428323250269045
ARHGAP31,5.839053967771235
CXCL1,5.822874027215505
IRAK3,5.806126963610154
ARHGAP26,5.777617484702034
ASPH,5.767559517392044
SGK3,5.767246091081233
SCARB2,5.747173876044883
ABHD2,5.719722287906848
SLC8A1,5.699451795322204
MYO1E,5.697607567815567
AGTRAP,5.697147588534278
ANKRD22,5.678642505051982
TDP2,5.674459587705542
TMEM176B,5.635711105465077
MT1M,5.620102598340452
FGL2,5.60162276137828
P2RX7,5.573682868594915
ATF3,5.5687554867892
PCNX1,5.557159944826765
CPEB4,5.5379430326307215
PLSCR1,5.521723682872846
MIDN,5.502943966513101
CCR5,5.486297888988247
MS4A7,5.483654393600602
THEMIS2,5.456329038063188
C3AR1,5.45629086039861
LCP2,5.41019440926442
HIF1A,5.377755093979886
HMOX1,5.374828960720606
DDX60L,5.365460038679373
ABCC3,5.32665921609231
LASP1,5.288884880067371
QPCT,5.278863243115609
SLC39A8,5.257728211158906
FOSL2,5.249641319724958
NCEH1,5.21946433895107
IFNGR1,5.203804723017413
PTPRJ,5.200150135287231
TRIM25,5.199370572007297
JARID2,5.173573554590575
SHTN1,5.15379444549518
TRPS1,5.146054539770745
CES1,5.105233379804957
MMP24OS,5.023112607528589
CYTH4,5.003685410292974
EVA1B,4.973707938604946
RCBTB2,4.932189112607432
PHLDA1,4.900245183309238
ITGA5,4.885484589799518
DPYD,4.881773351341252
SLC5A3,4.865999818182644
CASP1,4.852699520343037
CD9,4.834634711540957
IRGQ,4.8092856659142456
DECR1,4.757215949695535
ATP6V1C1,4.742210895978758
VMO1,4.723353592752289
CEBPA,4.641611210393393
FBXL5,4.639756514817435
ACAA2,4.433577421494391
CMTM3,4.332904459423787
EHD1,4.020743553463035
IFI27L2,3.914160442608221
CMIP,3.909459971599233
ST3GAL1,3.892197817406469
FAM200B,3.8171962559207486
