,score
RPS11,14.403187103058372
ACTB,14.138498975624316
RPS18,13.890736654646389
MT-ATP6,13.890176575332589
HLA-B,13.886368967523595
LCP1,13.637108055949284
H3F3B,13.577137650754594
PSME2,13.077920677189468
SEC61B,12.907966297805615
HSP90AB1,12.820924616173215
B2M,12.73502754569563
TMSB10,12.726141963068585
PTMA,12.668295434523316
TUBA1B,12.615812160280257
MT-CO3,12.61215941847695
PRDX1,12.460072850049983
RPS15A,12.433945906925146
HSP90AA1,12.389051066960747
PDIA6,12.359937422297662
MT-ND3,12.308645335451729
MT-ND4,12.181801925951731
RPS8,12.156521506030913
RPL23,12.057893984123439
RPL13,12.052131338543404
HSP90B1,12.03013570811163
HSPD1,11.985888277915365
GSTP1,11.971455464828978
TXN,11.967058667554738
PKM,11.882610118213051
TUBB,11.84803657354496
HSPA8,11.76116373079094
RAC1,11.760990234288329
DBI,11.756253430445213
RPL9,11.725201049695897
RPS12,11.670510061567256
GAPDH,11.636012203292921
CALR,11.59795592010596
MT-CO1,11.513729772321312
RPL13A,11.420541191109805
RPS4X,11.368729779162095
DYNLL1,11.364764976535298
MTHFD2,11.347635399019055
HSPE1,11.345615154508778
RPL32,11.301629715675517
NME1,11.221478989093157
DNAJB6,11.175392961731632
CFLAR,11.175133299180743
SEC11C,11.09208320151447
MSN,11.035042441961195
NFKB1,11.018659248728
HSPA5,10.842546325704461
MALAT1,10.803780919228302
RAP1B,10.746851942656576
RPS3A,10.711726469517089
H2AFZ,10.638776429996142
DDX21,10.631494234510683
PPIG,10.54213422041721
RPL22L1,10.487204529046721
PPP1R14B,10.452210633791765
UBC,10.417491538366448
RPL30,10.36777722172883
CD47,10.351193750653692
SRSF7,10.336844774803467
CD164,10.23642173875487
MIR155HG,10.209688140073922
SDF2L1,10.173979299499479
JUND,10.099847387829868
PSMB9,10.069961741950465
NOP56,10.018043204645437
DIAPH1,9.989948415282925
TMSB4X,9.885119266711627
CCND2,9.880845896479514
FKBP2,9.871155709266532
RUNX3,9.857968810661987
RGS10,9.843999431186603
TPM4,9.784253756361068
NOP58,9.762045039620716
HSPH1,9.643786795984852
GPX4,9.634516959358734
SELENOS,9.630871203991774
USP16,9.576372342862669
TAF1D,9.489547822960049
CLIP1,9.433368723889544
ATOX1,9.429034804542425
PTPN7,9.424431325192927
