,score
AC007613.1,2.3766173736447342
KIAA0556,2.3761502755353376
P4HA2,2.3756168594159988
HSBP1L1,2.375599888271722
CKB,2.375219734639927
ABCG1,2.3751837035951553
AC012645.3,2.3748998938439456
MKI67,2.37427613901815
AQP9,2.3739262723515253
SNHG10,2.373870137028149
RORA-AS1,2.3718578815060027
SPATA20,2.371543262600568
ZNF660,2.371014546182721
AC007114.2,2.3707685951379744
CD36,2.369196806083437
IER5L,2.368250860610914
AC120114.1,2.367393165088629
NEK11,2.367382199118481
SMC2,2.3662934349395073
COLQ,2.3660464395166514
CMBL,2.365931296830098
BTBD8,2.3653981418052865
AC142472.1,2.3649668136461344
HDGFL3,2.3649250385217613
FES,2.363998675138788
TRAV30,2.36334776648215
IGF2BP3,2.3626101744424375
PXYLP1,2.3625730990195564
AC023157.3,2.3617208864823453
HRH2,2.361690599517175
FERMT2,2.361463186183869
AC023509.4,2.361220107178923
ZNF487,2.3605848641939247
PROCR,2.3603480514576347
KCND3,2.359705497825871
KCNRG,2.3592579818060244
ADARB2,2.358332140612106
ACVR1C,2.3583143861842473
INTS6L,2.3583120363335013
AC104184.1,2.358166867776305
AREG,2.3576331905624386
ZNF575,2.356519361308841
PHF6,2.3563702763337346
ZNF615,2.356250172851162
CASTOR3,2.356163489468088
AP003469.4,2.356157223199432
C11orf96,2.355191956731886
AC007686.3,2.3550499213090177
AL162426.1,2.354733213647364
IFT172,2.354631386781705
RASSF1-AS1,2.352917823398826
POLN,2.3529029410107682
TMIGD2,2.3522885855879565
CAPS,2.3521596048914546
CDK17,2.3515559543442635
CDKN2C,2.3515259284736203
AC079305.1,2.351293554344295
ZNF813,2.351141597329388
ZNF699,2.35112671494133
TBC1D17,2.3510744960358636
OXT,2.3508998237970786
LANCL1,2.350128811657868
KMO,2.3480024578272776
EPOR,2.347485751757688
AL163051.1,2.3472035085736422
FOLR2,2.3468896729517894
NFATC1,2.346762519916979
AC020910.4,2.3465907197179945
CMYA5,2.3456473851907447
SOX13,2.3446095344446007
SPP1,2.3428017159373553
AL359504.2,2.3424659483752066
AC100810.1,2.342428611857798
FAM53C,2.34235994399711
CCR10,2.342021043300633
CLEC12A,2.341723395539475
TLR3,2.341470133847963
NOTCH3,2.3413625629027024
AC020765.2,2.3413317537484772
VANGL1,2.3412636080768436
CD69,2.340439854843112
ADAM22,2.340208002902841
CD163,2.339682941808377
POU5F2,2.3396675372312643
ADAMTS10,2.3393834663855273
SMPD1,2.3390320331517387
ME1,2.338963887480105
RALGPS1,2.338930728475134
PTPRD-AS1,2.3383487487737113
MXD3,2.338143789569756
PPM1L,2.338040918325987
TSPAN2,2.3380283857886752
HOXB2,2.337940135838437
IL18,2.3378202934503918
STX1A,2.3377242106643337
AL353622.1,2.3375500606146034
FHL3,2.3374346568335227
SLC17A5,2.3373085481768214
NCAPH2,2.336990273948004
AC062017.1,2.3368709537490133
ARHGEF26,2.336778526286338
CASC15,2.335710127480496
AC008894.2,2.3356521644954285
PLCD3,2.3344490409134835
LINC02576,2.333693172256858
EFHC1,2.332341224794334
ALKBH3-AS1,2.3318498448938954
ZNF888,2.331506505590454
OCLN,2.331015386784543
PAQR4,2.3308106886751148
TTC7B,2.330511213252265
TYMS,2.330201816237377
AC132872.1,2.3299031240981094
TRMT61B,2.329648818028488
HSPA2,2.329235505391722
NEK5,2.327631079521268
CLEC10A,2.3273592801183156
STARD4,2.3271245561382443
AC093827.4,2.326242056635863
MIR181A1HG,2.325091151959384
FGFBP3,2.32489585325294
OR2T11,2.324615698825113
HEXA-AS1,2.3243391997206686
HACL1,2.324299252257987
ETV2,2.323936591959523
CALCRL,2.322274725293056
CD209,2.322088303800541
HSF2,2.321195099422539
TRMT13,2.3210624634026544
AL139020.1,2.3209846572335096
IFRD1,2.3206697772335474
THBS1,2.3205525457907754
ARMC2,2.319961949969951
CTSF,2.3190726620098587
MRPS24,2.318970574049672
B4GALNT3,2.3186776259900057
SMARCA1,2.3185436844974845
NEK8,2.318101129273657
IL18BP,2.317351787980215
ULK1,2.316654926686766
ZNF781,2.3161053227067327
EDA,2.3158525832042756
IRF2BPL,2.3154222994232327
AC073320.1,2.3151374452939137
CCNT2-AS1,2.3149640785277654
HIST1H4H,2.314487581015385
AC078883.1,2.31418079494577
LCTL,2.3139152618114736
AC048341.2,2.3138288395229267
APBB1,2.313801685692084
TST,2.3137230962393573
EGR1,2.3129794990255164
MYLPF,2.31294294579169
DYRK1B,2.312086816836569
LINC01560,2.3116103193241884
ARMT1,2.3114523571351526
EPB41L4A,2.3113272928565607
EFEMP2,2.311123116936187
