,score
RGS10,8.704542331622577
CD3D,8.135492566867441
RPS11,6.791229118990088
ACTB,6.666426344047352
RPS18,6.549604235386653
MT-ATP6,6.549340153075036
HLA-B,6.547544832578183
LCP1,6.430016125299915
H3F3B,6.401739552960635
PSME2,6.166354368882196
SEC61B,6.086219387512244
HSP90AB1,6.0451784707597085
B2M,6.0046772482115784
TMSB10,6.000487618024579
PTMA,5.973212472164278
TUBA1B,5.948466147774468
MT-CO3,5.946743847958373
PRDX1,5.875033696259436
RPS15A,5.862714613290507
HSP90AA1,5.841546302257882
PDIA6,5.827818963302889
MT-ND3,5.80363429422448
MT-ND4,5.743826513489239
RPS8,5.731906573639947
RPL23,5.685402831522367
RPL13,5.682685693559392
HSP90B1,5.672314560780933
HSPD1,5.651451509135541
SFXN1,5.649365800342309
GSTP1,5.644646311105419
TXN,5.6425731826050765
PKM,5.602754950484496
CD8B,5.589184659053672
TUBB,5.586453220761996
HSPA8,5.5454919130223175
RAC1,5.5454101078987605
DBI,5.543176663317354
RPL9,5.5285351932836875
RPS12,5.502747912422308
GAPDH,5.486481869498675
CALR,5.468537998000613
MT-CO1,5.428824630165934
RPL13A,5.3848853963177135
RPS4X,5.360455860896309
DYNLL1,5.358586421663347
MTHFD2,5.350509675538206
HSPE1,5.349557112522291
RPL32,5.328817592103746
NME1,5.291025821131143
DNAJB6,5.269295854787117
CFLAR,5.269173421615619
SEC11C,5.230014571732568
MSN,5.203119353023283
NFKB1,5.195394533637739
HSPA5,5.112355744895353
MALAT1,5.09407751554329
RAP1B,5.067235003490794
RPS3A,5.050673034650401
H2AFZ,5.016276450819248
DDX21,5.0128428317405564
PPIG,4.970708800887337
RPL22L1,4.944808969352607
PPP1R14B,4.928309040639476
UBC,4.911938682457617
RPL30,4.888497945878669
CD47,4.880678693733046
SRSF7,4.873913025695515
CD164,4.826562682903273
MIR155HG,4.8139575565157315
SDF2L1,4.797120524810225
JUND,4.76216667788907
PSMB9,4.748075333585632
NOP56,4.723595287618139
DIAPH1,4.710348347878664
NELL2,4.674162258958518
TMSB4X,4.660920484364681
CCND2,4.658905552797876
FKBP2,4.654336544487535
RUNX3,4.648118806069533
TPM4,4.6133615110559845
NOP58,4.602889906213022
CD8A,4.5875071267553835
HSPH1,4.547130106524662
GPX4,4.542759297204952
SELENOS,4.541040291554907
USP16,4.515343600259882
TAF1D,4.474405077168711
CLIP1,4.447916138938837
ATOX1,4.445872657932938
PTPN7,4.443702077020305
ARID4B,4.438090739669207
GPATCH4,4.428889584865914
LRRN3,4.422986350701137
AIF1,4.4228312027696575
DNAJC2,4.420527069835998
RBPJ,4.3983641951703305
ANP32E,4.397887364634698
BAZ1A,4.388259340814187
NFE2L2,4.37970192095969
SOCS1,4.362522845012734
ZNF106,4.353319494098741
BDP1,4.350230664399874
HNRNPH1,4.349095549682062
CELF2,4.347108069499001
GSTO1,4.346135466972953
RIF1,4.333399397484953
TFRC,4.3307684568669345
PIM3,4.330472530950175
CHD4,4.315328426080157
SH3BGRL3,4.30856660123635
PRPF38B,4.308494953124779
CD52,4.28830505696385
TRA2B,4.2813652995983205
GOLGA4,4.280729525550811
ACTN4,4.265268082684713
MTRNR2L12,4.264219165311857
NOL8,4.237783482766446
STAT1,4.232033515927441
LY6E,4.224232656208926
CD81,4.216130105783066
LTA,4.205768306475079
IL2RA,4.201519930326867
CYTOR,4.188808018056562
TRIP11,4.185662638507182
BPTF,4.176802429889989
CREM,4.175673903504276
PPP1R12A,4.152261990878259
PUM3,4.150620123616534
PABPC1,4.1461776661852525
SNHG15,4.133004570668049
EZR,4.131370938821448
