,score
CD8B,3.4078323497983547
MT1F,3.152920753471932
CPA5,3.0384273345119865
LINC01550,2.8805172221087076
NELL2,2.8499257630508055
CD8A,2.7970904783336437
GPR155,2.7512940865780493
PASK,2.699696391833136
LRRN3,2.696779027370326
AIF1,2.696684430721234
CD52,2.6146612771601667
BCO2,2.5951917731430143
LINC02446,2.509534420158161
CD27,2.478438318602116
RGS10,2.47729471788125
AL441992.1,2.4324777784811573
YBX3,2.4232644591861003
ZNF69,2.417135735137734
CCDC62,2.417082920797071
VMAC,2.402022135205897
SCGB3A1,2.3901338020080516
MAL,2.3633654243813
CD3D,2.363062132970981
MT-ATP6,2.3529095206909005
HLA-DPB1,2.314651402241225
CD3G,2.29776803296852
NUCB2,2.274975916336359
ZEB2,2.268741375685181
JAML,2.2651147250351187
A1BG,2.263476893206075
RPS11,2.2375710727501428
THEMIS,2.236554395807957
CD8B2,2.2327929419734573
EVI2B,2.2095365740942157
PTCH1,2.1697725088152424
FAM117B,2.158609376555887
TCF7,2.1562689099240515
LEF1,2.152627812133858
LMO7,2.132954328722292
MT-CO3,2.1189879073384645
RAP1B,2.101690015913505
ABCD2,2.1012353446153043
HLA-DPA1,2.083077804550726
HLA-DQB1,2.081752265964724
GIMAP8,2.0813774705046626
SMCHD1,2.0795944932945076
SWAP70,2.079438222265594
ATM,2.0639622274068756
SQSTM1,2.048056029088116
RUNX3,2.0458680766741963
CRTAM,2.0327591588707037
TRBC2,2.0302245508082706
BACH2,2.0201406935483988
PECAM1,2.0200872828249885
LAYN,2.0150333476972833
GOLGA8Q,2.010216777392145
HLA-DRB5,2.002775668912477
LINC01871,1.9979962001292506
EPC1,1.9895768503207591
PDE3B,1.9891116828465556
PNRC1,1.9853708053069568
DRAXIN,1.9801478499119298
GIMAP1,1.9737379809694744
MTRNR2L12,1.9728184020633535
ARID4B,1.96949104581779
C12orf57,1.9690794598349726
NKILA,1.9679135925182436
TMEM71,1.9571048338597166
ABLIM1,1.9549778645882157
S100B,1.954098843418194
CLEC11A,1.9535552765191824
ZNF267,1.9511623028330405
BPTF,1.9503348090227064
OXNAD1,1.9486036513058025
ZFP36L1,1.9427958774438139
N4BP1,1.9414891419442029
FYB1,1.939665141166472
HLA-DQA2,1.9388356946352587
AC004918.1,1.9388188649903668
CD96,1.9384739510544478
BMPR1A,1.9350796777517303
IQGAP2,1.9335839452035088
BEX3,1.9282615878851175
C1orf162,1.9274447094368838
TRBV28,1.9262514818585714
GIMAP6,1.9241144707889362
TRIP11,1.9240299231981908
LSP1,1.9221573570064265
BBS2,1.9192711223554397
SERPINB1,1.916695771450918
MT-ND4L,1.9159771459306967
CD7,1.9154952607236169
CLUAP1,1.915026061344122
LINC00402,1.9132600146722325
DIAPH1,1.91207210830828
GRAP2,1.910576234970847
BIRC3,1.9092358444366937
AL157786.1,1.9078466122779787
SH2D3C,1.907640973716184
RPL23,1.9064868016045011
EBI3,1.905907856154613
CEP85L,1.9058960293737073
RBBP6,1.9058346979277303
IL7R,1.9038072827892165
PPP1CB,1.9008904342616688
GZMM,1.9005118791740188
ANTXR2,1.8996864046961264
MANEA-DT,1.8976485113726653
FMNL1,1.896389544212525
RASGRF2,1.8878352005291958
EZR,1.887613717169188
DUSP5,1.8871643392053556
SSR1,1.8855488538670215
AK5,1.8850686123765286
CIITA,1.8848498214788378
PCED1B,1.8838998343936737
ABCB1,1.8832712760437857
MGLL,1.8812369427365638
USP48,1.8761822306890963
CHD9,1.8757491276655855
TRAV4,1.8750126975114654
KIAA0040,1.874703897275026
RIF1,1.8739881159191327
MAP4K4,1.87027016110585
TRBC1,1.867939196692305
HIST1H4C,1.867188667065534
SPAG9,1.8645121504237068
SMG1,1.8645039339489813
NABP1,1.8643573014769572
GIMAP2,1.8636076888970479
CCDC152,1.8634623011240592
ALG2,1.8618692897264282
CHD1,1.8595765772597588
BTBD7,1.8593517302687133
SPINK2,1.8587666689964522
GPR18,1.8582249940304223
LITAF,1.8549195741908306
MED13L,1.8548296669962383
CELF2,1.8545958134848206
OBSCN,1.8539838624183744
TRIM56,1.8525676083006601
GOLGA4,1.8516236617620052
LINC02482,1.850325591698038
C11orf65,1.8500864804757953
BASP1,1.8457578888536545
TRAF1,1.844536004256497
SH3YL1,1.842889712946203
TIFA,1.8427340681455462
AC109826.1,1.8419984669784526
GIMAP4,1.8389437228793213
TAF1D,1.8385414539077374
PPP1R12A,1.8380983963090785
ATP6V1E2,1.837456518022293
NR3C2,1.83709879715542
SEC14L1,1.8368676632006782
AL109741.1,1.8310572730111971
LRRFIP2,1.8304371656640797
DICER1,1.8274711762973084
CCDC50,1.8268533606016035
SCML4,1.8249003409550824
PTMS,1.82329989329196
PRKAR1A,1.8231181827932232
PPM1N,1.8229609641153957
SMIM14,1.8211642418998508
CDK12,1.8196631551711562
CD55,1.8155841718859165
BHLHB9,1.8153312349995758
MMP23B,1.8149081696781764
CCL22,1.8139500190817444
SLC38A2,1.8138834972382938
CAST,1.813500167090524
ZC3H7A,1.8128546997971853
VPS13C,1.8118447054424678
ANKRD11,1.808119166190977
TRAV25,1.8070468970720412
DHRS3,1.8053313504574362
TRAV26-2,1.8051660246214851
LINC00861,1.8035586092534572
SETX,1.803134768206064
EPB41,1.803006464793043
EML4,1.8010397251601944
TNFAIP3,1.8007546766908717
RABGAP1L,1.7988795823530381
AC022075.1,1.79798861302163
CD84,1.7962093860763844
REG4,1.7956545498552714
GNA13,1.794599905084965
SAMD3,1.7943709460937498
INTS6,1.7943665256009353
CTNNA1,1.7940008924756512
ZBTB38,1.7929199520218617
PGGHG,1.7924232738556043
JUNB,1.7922255018984288
MIR9-3HG,1.7913125636619611
TANK,1.791142981353346
AL359220.1,1.7910527867102246
AC005842.1,1.7904968494801778
ARMH1,1.7901838073383374
PCMTD2,1.7891537225963816
MT-ND6,1.7891364234199045
POGZ,1.78896608957848
AKAP9,1.7884781573870896
HNRNPH1,1.7884217481279165
STAT3,1.7878627118283248
FTX,1.787246318214784
NKTR,1.785500317335618
PLS1,1.7847580346130485
HPCAL4,1.7845858687117016
SPRY1,1.783056604729154
TCEA3,1.7817553914375708
ANKRD33B,1.78127420516239
ZHX3,1.7802598911820837
MYO9B,1.7786130154061084
BRD2,1.7779454268346626
CHD2,1.777413252087058
BDP1,1.7762251814435785
KDM5A,1.7752058645502302
PRDM2,1.7744777584822486
ZNF292,1.7731460575402025
FSCN1,1.7711445558988999
ADAMTS6,1.7704745227334229
AC093673.1,1.7700514574120234
YPEL4,1.768921827888562
PCF11,1.7677874939370213
CCL28,1.7662428507862842
ATXN2,1.7588008827151498
AF230666.1,1.7585259472199937
EIF2AK2,1.7584987692598588
NFKBIZ,1.7561381128675748
CXCR3,1.7526925357037726
ORAI2,1.749474867883464
BOD1L1,1.7493735840315594
RAB21,1.749338664013976
ZBP1,1.748782637896852
NUB1,1.7487004651405869
PDE6G,1.7478341973397278
RFTN1,1.747239670739873
