"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"mSp_rep7_099",0.000219461020901586,0,0.0194873350000486,0.000522168591086264,0.000138095335688242,0,0,0,0.0177129034772593,0,0.000784429671029283,0.0214684535416119,0,0.000444311180567355,0,0.000330250461923432,0,0,0,0
"mSp_rep7_003",0,0,0.00115195852474195,0,0.00611290203810086,0,0,0,0.0185987170662975,0,0,0.00247211756743934,0.0179848346409761,0,0.00963916300486955,0.00724400105920352,0,0,0,0.00139820780267727
"mSp_rep7_066",0,0,0.00102586198747437,0,0,8.26529201438779e-07,0,0,0.0250211851968769,0.000208984562164705,1.79892570722985e-06,0.00119779004141864,0.015427671324704,0.00188166506257052,0,0.00863093412016624,0.00110007026506903,0.00048120336052342,0,0.00393623432569579
"mSp_rep7_316",0.00393400130105923,0,0.00835911946779306,0,0.00116410970655416,0,0.000162017540137776,0,0.000109683520798988,0.024585591155956,0,0,0,0,0.0280615203181323,0.00303158256961289,0.0012863565321831,0,0,0
"mSp_rep7_133",0.000885856958479168,0,4.17145721375654e-07,0,0,0.0062814292910637,2.50080803506264e-05,0,0.0318286095730903,0.000357128839556812,0.00155907330282716,0.00324560842729839,0.0113606126473952,0,0.00872841881473482,0.00889934165955248,1.53388028273444e-07,0.00618331089333284,0,5.2096627928491e-06
"mSp_rep7_121",0,0,0.001502845476927,0,0.00401212596687161,0,0,0.00136760104604348,0.00793447366452363,4.27302316385557e-05,0,0.0109622299982864,0.0122027651896684,0.0006068470574088,0,0.00325432755422393,0,0,0,0
"mSp_rep7_233",0,0.00503410316199798,0,0.000635575033255352,0.00180579214134507,0,0.000655132695473066,0,0.00172437197730445,0.00940561508516275,0.00129590469112866,0.00399839122187506,0,0.00276496255353436,0.0582831261821338,0,0,0,0,0
"mSp_rep7_021",2.27860766971177e-05,0.00149264722018187,0,0.000156353174791542,0.000463430647350845,0,0,0.000376220535156533,0,0.014107620104578,0,0,0,0,0.0425354246873144,0.00370664336963195,0,0.00368604095736579,0,0
"mSp_rep7_183",0,0,0.00127470226538066,0.0004109414649726,0,8.26529201438779e-07,0,0.000751210066830463,0.037960250360074,0.000583768461134423,1.79892570722985e-06,0.00356670791597407,0.00476584927983098,0,0.00349001831943725,1.06904780044612e-05,1.53388028273444e-07,2.62176509295634e-05,0,5.2096627928491e-06
"mSp_rep7_369",0,0,0.000833414774987129,0,0.00736398929757858,3.7305258555756e-05,0.000287364362376941,0,0.0153237411023431,0,0,0.000815656525587064,0.01533772988368,0,0.000815795357266135,0.00682837276484427,0,0,0,0.00287282225793373
