"","V1","V2","V3","V4","V5","V6","V7","V8"
"mSp_rep7_276",0.0617830977706359,0,0.00414774828670247,0,0,0,0.00662216710844978,0.0288165869985319
"mSp_rep7_267",0.00646867498394342,0.000907141045416153,0,0.0124018518253614,0.00188413536280896,0.0230333796266201,0.0492121794464096,0.00184593003692157
"mSp_rep7_270",0.0685895529796396,0,0.00197783068895034,0,0.00255516342801405,0.00415638661690842,0,0.0245470490513872
"mSp_rep7_291",0.00386241569924121,0.0153058216663021,0.000723925033157694,0.00899441556874835,0.00462263635019446,0.0114464127705473,0.0615880477620109,0.00158292683808544
"mSp_rep7_196",0.0644098382043815,0.00155026996752981,0,0.019032279927869,0.00142319775467667,0,0,0.0244868562445675
"mSp_rep7_347",0.00548900127378427,0.0021252774699894,0.00205053247772425,0.0138595682460247,0,0.0206628358674378,0.058910587143792,0.000203735944302184
"mSp_rep7_141",0.00140431655919415,0.0259056580908055,0.00172625627306937,0.0234812584964851,0.126322196275179,0.00181320748420661,0.00947150753978459,0.00560201195971425
"mSp_rep7_079",0.0669029051713874,0.0030355526058729,0.001831128109788,0.00396646969759037,0.00102582556040654,0,0.00139043302312813,0.025284533703749
"mSp_rep7_199",0.0110581708830088,0.0322220134437238,7.53693356904524e-05,0.0295256018367764,0.126009427645362,0.00650209249711403,0,0.00231199575125155
"mSp_rep7_082",0.0645968783058429,0.00219281977157296,0,0.00296790228618418,0.00215337242651309,0.00129789985626602,0,0.0254875848261717
"mSp_rep7_178",0.00630361672510005,0,0,0.00267860881700802,0.00275490697563707,0.0258722143237083,0.0554931779884389,0
"mSp_rep7_374",0.0641357087545515,0.00224497058762746,0.00399532875193198,0.00555916457400042,0.000109654250840434,0.00244434704569734,0,0.0211868748661201
"mSp_rep7_098",0.00074013728331969,0.00517712551746673,0,0.0181017775977059,0.00648346169781407,0.0189657447191749,0.054336430121009,0.00262584266890113
"mSp_rep7_310",0.0098541026393589,0.0312801938046877,0.000195011200334941,0.0397328215117816,0.0134767683973132,0.00455959287017704,0.0376445554742368,0.00541996690891479
"mSp_rep7_327",0.00052396122975503,0.00258274043942824,0,0,0.00254243199234657,0.0101968848157798,0.079989573618071,0.00344051550924816
"mSp_rep7_144",0.0586789780681007,0.00149148557449664,0.00353079263407724,0.00969873830627109,0,0.00220342776781281,0.0160026895941567,0.0123660141731782
"mSp_rep7_169",0.0114244153192562,0.0281749779310713,0.000635882205585177,0.0257103693832342,0.121535830372102,0.00650457841015182,0,0.00188952127726005
"mSp_rep7_264",0.0708055850639281,0,0.0080761005210961,0.000874136722534932,0,0.00147426299643465,0.000878429952664235,0.0215148027212436
"mSp_rep7_294",0,1.86681491622976e-05,0.00322130739316434,0.00438069528946798,0.00498643689630294,0.0223504268353592,0.0629001217296246,0.00114830131447323
"mSp_rep7_072",0.0127380118880299,0.0859506515899332,0.000768068216758251,0.0412454708855765,0.00787651564482393,0.00325043757689735,0.0201459417866683,0.00171249256788291
"mSp_rep7_084",0.0378590948174503,0.0055836978532606,0.0686324486728828,0.017193654278323,0.000579797388314169,0.00469198417711758,0.00157213768782853,0.00580589220094917
"mSp_rep7_044",0.000780759555710091,0.0120075100920355,0.000532758436217189,0.00327464340847345,0.0183154627679977,0.0136694702828949,0.0630004634122101,0.000995773429114297
"mSp_rep7_289",0.00654586744808761,0.00479429878488915,0,0.0110717835543105,0.000892395890288857,0.0195512092539093,0.0516215390344644,0.00139283815337374
"mSp_rep7_195",0.00284069077038268,0,0,0.0136412722844409,0.000433870244466489,0.0237054987504921,0.05916992789904,0.000618399753418748
"mSp_rep7_171",0.00532022745141486,0.0055320074507248,0.00526737982299036,0.00098839266762271,0.00127753426209903,0.0146577866064621,0.0653224764407536,0.00124086456819839
"mSp_rep7_202",0.061856766146957,0,0.00486095261371606,0.00643052269955642,0,0.00201519445671982,0.000243802228606374,0.024382901073803
"mSp_rep7_099",0.00125395286848126,0.000687931502578856,0.00487721300373737,0.00939716396902908,0.00447784469745376,0.0200787732773535,0.0587427259378071,0.000555067601836367
"mSp_rep7_003",0,0,0.00237030372377232,0.00291955305615882,0,0.0229645281589768,0.0612545871844766,0.00319792623046887
"mSp_rep7_066",0.0048421843952463,0,0.00531827463525211,0.00842177244618301,0,0.0259867707821761,0.0498353004545603,0
"mSp_rep7_316",0.0606272980243397,0,0.0154804850393813,0.0162555382758895,0,6.31172007628973e-05,0.000303459537910773,0.0230057081735195
"mSp_rep7_133",0.00672484316682934,0.00294121172391153,0,0.0233233839185159,0.00470872404719704,0.0249695665551832,0.0386808127092248,0.00829492081176243
"mSp_rep7_121",0,0,0.0028246191827982,0.00572350677233223,0,0.022563284919995,0.0624013946790655,0.000408277467393503
"mSp_rep7_233",0.0557874892429187,0.00109227441290159,0,0.000663049666842046,0.00194764425514662,0.00284869796635695,0.00796578637988797,0.0287513743860131
"mSp_rep7_021",0.0580893657310402,0,0,0.0126158738265726,0.00468672083513108,0,0.00539840286369853,0.0247402409449688
"mSp_rep7_183",0.00469521579780009,0,2.05016691407524e-05,0.0125503582624717,0.00207455526793179,0.0286327748613481,0.0456609160300276,0.0044004805035785
"mSp_rep7_369",0.00412502710701786,0.00157599702706423,0,0.00509991048276743,0,0.020601725925058,0.0605448318422086,0
"mSp_rep7_269",0.00286402877398235,0.000689850069388778,0.00317040590625204,0.0197461203609925,0,0.0214061397159485,0.0559374388600748,0.000117655974301688
"mSp_rep7_165",0.00951156063402574,0.00646796472072307,0,0.00652950114150104,0.00371627915501769,0.0175591971915716,0.0572031716488449,0
"mSp_rep7_210",0,0.00220299404124425,0.00121491298584919,0.0458493776649156,0.00260222273271236,0.0137809906459341,0.061996767273646,0
"mSp_rep7_120",0,0.00634828984900361,0.00118503270900871,0.00755842664712714,0.000444102376504455,0.0177947739610962,0.0586802137893915,0.004780961222049
"mSp_rep7_153",0.00287806916418844,0.00601965171918241,0.00407040386223536,0.00283049136235392,0.00431183046030588,0.0162158301663081,0.062718592844901,0.000721361417364699
"mSp_rep7_170",0.00658468376127804,0.0032342191752918,0,0.00665000890267618,0,0.0192667449542855,0.0564816370093758,0.00213890400509089
"mSp_rep7_335",0.073388053372886,0.00175443656560499,0,0.00645440325157056,0,0.00266715393983194,0,0.0216000846771846
"mSp_rep7_139",0.075275242039627,0,0,0.012117561051572,0,0.00125389383895907,0,0.0199885599252631
"mSp_rep7_192",0.0022563003173225,0.000493134113130394,7.1039590645124e-05,0.0278265122121031,0.00551435639586621,0.0115956465191232,0.0609329697803607,0.00446185336247364
"mSp_rep7_259",0.071142975001989,0,0.00290288472405416,0.00148504432977027,0.00156614055901744,0.000663688250605635,0,0.0261316611730964
"mSp_rep7_176",0.0652704580372127,0.00359244468754166,0.00873378320886599,0.00202695057091889,0,0,0.00252506682448561,0.0205733634041142
"mSp_rep7_049",0.00407215882681589,0,0,0.00669612740500944,0,0.0226553431983335,0.0570597004105587,0
"mSp_rep7_075",0,0.0025383013342507,0,0.0178120769947441,0,0.0184810328841211,0.0548991652962255,0.0067822607248541
"mSp_rep7_266",0,0.00150465920050411,0.00324240659694969,0.017030084567195,0.00173393772400556,0.0185615465357318,0.0620730640565525,0.000102855353478733
"mSp_rep7_355",0.00320548488884357,0.00625336315028199,0,0.00521963950524094,0.000471633811824537,0.021850534516744,0.062176509875043,0.000475840371406964
"mSp_rep7_042",0.0717025225592002,0.00751579880350337,0.000386991398043996,0.00653229643154333,0,0,0.00044351002350128,0.0241020268047433
"mSp_rep7_017",0.00608216317542963,0.0130462621525459,0,0.00696481415467878,0.0486641493561012,0.0138038102034922,0.0404469672535022,0.0027699091160238
"mSp_rep7_011",0.00130376958554117,0.00161215133995589,0.00243140241447206,0.0181395032215083,0,0.0192542924738509,0.0582640867676239,0.00452191352611585
"mSp_rep7_257",0.060010429678764,0,0.0187804618762869,0.00570804171186842,0.00139794524996633,0.00174741014069863,0,0.0213410103344665
"mSp_rep7_147",0.00627507299245498,0,0.00154211566340666,0.0025628376397093,0.000367442762823318,0.0251127374800952,0.0549488076181944,0.000132067309761077
"mSp_rep7_201",0,0.00402046012619922,0.00283154304188862,0.019035464599931,0.00662251458070294,0.0177840284571204,0.0583904449940718,0.00255742069147002
"mSp_rep7_336",0.00297999766658815,0.00169072721413187,0,0.00800388180301905,0,0.0237487625522029,0.060471725512395,0.00229832082118987
"mSp_rep7_229",0,0.000343227414207668,0.00101423115038168,0.0130338886559325,0.0102079670570602,0.0142696195874092,0.0668264013484162,0.00232760266819169
"mSp_rep7_020",0.0294949666791895,0,0.0753969319074096,0.0119483684632667,0.00944078219366998,0.0024812723426469,0.00845612309335543,0.00360792099522872
"mSp_rep7_172",0.0641423393754788,0,0.0471273036533453,0.0138010393096795,0,0.00145503108962923,0,0.00730499771884726
"mSp_rep7_057",0.00241820741004654,0.0807705556097525,0.00401789280758953,0.0200088804253152,0.0580861086561435,0.00146249552646619,0.0149342266102179,0.00274706396517296
"mSp_rep7_240",0,0,0.000480114735014158,0.00769140797268561,0.000935778068127841,0.0206176216974431,0.0615143320631877,0.0030059873737295
"mSp_rep7_077",0,0.00037455772401181,0,0.0166579399381213,0,0.0202891887840997,0.0652190672446243,0
"mSp_rep7_349",0.0616947093306402,0,0,0.00609246587705293,0,0.00132056310790887,0.0109319822852303,0.0193985358324415
"mSp_rep7_105",0.00456149122606392,0,0.00285926765833593,0.00848717082976188,0,0.0205790090990517,0.060171560417003,0.000851060879176759
"mSp_rep7_308",0.000538773176334153,0.00310521662534594,0,0.00553108387007205,0,0.0211623432353662,0.0619335694628914,0.000942788781894603
"mSp_rep7_113",0.000263827922883421,0,0.00967680605325632,0.0227088979135346,0.00214381533672563,0.0209210004133578,0.0557294826598777,0.00206400880617561
"mSp_rep7_258",0,0.00511818884666611,0.00249920276480465,0.00822309821072604,0.00384459001007186,0.0163262690902191,0.0659214013654091,0.00161011111620673
"mSp_rep7_040",0.00955164533497802,0.0821330565467152,4.26281647551615e-05,0.0139874554658094,0.0306602805554652,0.0015410765938452,0.0223336580941388,0
