"","V1","V2","V3","V4","V5","V6","V7","V8"
"mSp_rep7_003",2.6011604206797e-05,0,0.00868456903615002,0,0.0059762882441978,0,0,0.0405951159647778
"mSp_rep7_066",8.14041542000357e-09,0,0,0.00507208082140941,0,0,0.00138222114161713,0.0349414166780527
"mSp_rep7_316",0,7.68159325418478e-05,0.0021133201707178,0.0245020317916208,0.0381004645425717,0,0.0170063332047402,0
"mSp_rep7_133",8.14041542000357e-09,0.00360775693150746,0,0,0.00874893466994689,0.00211433352338255,0.00413801379124204,0.0330134263184456
"mSp_rep7_121",0,0,0.0122929605104578,0.000183763670923888,0.000876477614004218,0,0,0.0328310002628288
"mSp_rep7_233",0,0.00148639967066092,0.00332469696603495,0,0.0508870686697283,0,0,0.00249648618891945
"mSp_rep7_021",0,0,0.00270728446183257,0.000359534037697314,0.0292698997182725,0.0442061461508995,0.0229728362725627,0
"mSp_rep7_183",8.14041542000357e-09,0,0,0,0.00546093527729072,0.000997467889537229,8.98322590246581e-07,0.0465153291434653
"mSp_rep7_369",0.00010172947233561,0.00155245478754448,0.00746953453961501,0,0,0,0.000883621398601465,0.0351196384259446
"mSp_rep7_269",0,0,0.00916585933016644,0,0,0,0.0135155065802535,0.0294781146694491
"mSp_rep7_165",0.00194054493984812,0.00657523560396706,0.00899198970303187,0,0,0.00104986025355298,0.00507553094613731,0.0280963014216293
"mSp_rep7_210",8.67818625185774e-05,0.00587374341696648,0.0170670104308221,0,0,0,0,0.0189425640588873
"mSp_rep7_120",0.00160327391819425,0.00415491061277638,0.0114547483452464,0,0.00672084525244467,0,0,0.0168482841961548
"mSp_rep7_153",0.0073187532806175,0.00141603743508505,0.0104382887423206,0.00205177209233595,0.00395447581594017,0.000370608573566418,0,0.0225696125285804
"mSp_rep7_170",0.00227698041702531,0.00371761887247052,0,0,0.00145287619917188,0,0.00300247062614071,0.0295396624484709
"mSp_rep7_335",0,0,0,0.000359534037697314,0.0194549596375639,0,0.0764217639878021,0.00319484823639819
"mSp_rep7_139",0,0,7.49763936120311e-05,0.000359534037697314,0.00310435194582901,0,0.0690942828517049,0.00012003649986863
"mSp_rep7_192",0,0.00183740294374047,0.0109546174086114,0,0.00563406965767023,0.00183778791286014,0.00407908965179937,0
"mSp_rep7_259",0,0,0,0.00931318309167684,0.0383509980021825,0.0188850022197195,0.0569963897923948,0
"mSp_rep7_176",0,0,0,0.0152404153846827,0.024886591039781,0,0.0336496132691071,0.00180038169219384
"mSp_rep7_049",0,0,0.00719296583243411,0,0,0,0.00085764234492734,0.0336214147037954
"mSp_rep7_075",0,0,0.00782225803974632,0,0.00881827510212095,0,0,0.0289208981949337
"mSp_rep7_266",0,0.0100926110877062,0.00697239975793645,0.000944038247434345,0,0,0,0.0335956648742251
"mSp_rep7_355",0.000143612916830829,0.0086761358748192,0.00939653225337882,0,0.00210229355731852,1.09283978507307e-05,0,0.0354654489527958
"mSp_rep7_042",0.0397278058359845,0,0,0.000359534037697314,0.0420306034716485,0,0.0478875874928224,0
"mSp_rep7_017",0.00593478497856559,0.00732988941944888,0,0,0.00218503618341568,0.00705308667509783,0.0044483466238856,0.0188172933761171
"mSp_rep7_011",0,0.00491425558273902,0.00567743805430759,0,0.00583488626911125,0,0.00551811352447378,0.0268319865990654
"mSp_rep7_257",0.00109683450220357,0,0,0.017546202103593,0.02904519425668,0.000944744133765051,0,0.00453149404917697
"mSp_rep7_147",8.14041542000357e-09,0,0.00112929098053643,0.00156714410102675,0.000839314351314113,0,0.00035217442148562,0.041459296006317
"mSp_rep7_201",0.00272697816431761,0.00207459089587899,0.0097553322153606,0.000449826915237887,0.000325466926281071,0.0017438436440083,0,0.0222421804641475
"mSp_rep7_336",0.0034203717625353,0,0.00825054819129315,0,0.00365059053724012,0,0,0.0406930400228449
"mSp_rep7_229",0,0.00362599540330683,0.0120150763609238,0.000619819902077279,0.0027898798477841,0.00525769456813635,0,0.0197031364668984
"mSp_rep7_020",0,0,0,0.112612558988928,0.0033052669727917,0.000904898472844772,0,0
"mSp_rep7_172",0,0.00182525460480357,0,0.0923770003330384,0.00318233247041705,0,0.0182982645119764,0.000219740562377001
"mSp_rep7_057",0.183807378555251,0,0,0,0.00322880798436579,0.0169050884953129,0,0
"mSp_rep7_240",0,0.002362568286647,0.0100578414500019,0,0.00226657683746024,0,0,0.032740852621216
"mSp_rep7_077",0,0.00211927473476587,0.0230775626552216,0,0,0,0,0.0282679046326871
"mSp_rep7_349",0,0.00408390943219704,0.0069495806504228,0.00624970474236153,0.0140743467520882,0,0.0162451602082527,0
"mSp_rep7_105",0,0,0.0153489856377132,0.000158294054355088,0.00189205904583337,0,0,0.0319171804130449
"mSp_rep7_308",0.00312134697074886,0,0.00327912836718532,0,0.00112514080929156,0,8.98322590246581e-07,0.0406536269867739
"mSp_rep7_113",0,0,0.00935661085392182,0.00492348795431183,0.00311704153343908,0,0,0.0318811218807975
"mSp_rep7_258",0.0015988996505078,0.00167121016283936,0.0135648759120456,0,0.00199690251055493,0.000925361380317047,0,0.0249593979169598
"mSp_rep7_040",0.159053417836188,0.0141506715143745,0.0039044640025488,0,0.000240927799877329,0,0,0
"mSp_rep7_080",0.00206049075353743,0,0.00652049283579137,0,0,0,0.00702181774864071,0.0340067752366561
"mSp_rep7_255",0,0.00209102970939196,0,0.000359534037697314,0.0258791839657739,0.0451488677768452,0.0272943011215913,0
"mSp_rep7_278",0.00105691181473193,0.00267215308946403,0,0,0,0,0.00108788737728774,0.0464826377341773
"mSp_rep7_073",0,0.00602513305734383,0.00832476829291436,0,0.00498165547497416,0,0,0.0319225454056098
"mSp_rep7_090",0.000713043669638625,0,0.00925062555484158,0,0.00563186869984436,0,0,0.0253124108080378
"mSp_rep7_029",0.00659442694269471,0,0.000232283679562127,0.000359534037697314,0.0306358093749176,0,0.0208772166048985,0.00398612410571547
"mSp_rep7_261",0,0,0,0.0191767527022078,0.0191478319978517,0,0.0249517780895167,0
"mSp_rep7_023",0,0,0.0126119930366998,0,0.00343635680769205,0.00386761931509564,0,0.0215039526760408
"mSp_rep7_112",8.14041542000357e-09,0.00442239425265641,0,0,0.000646004905013119,0.00103684632821183,8.98322590246581e-07,0.043868460892698
"mSp_rep7_078",0.00154624428821464,0.00820663908559864,0.00382331409872304,0,0.00370931343396444,0,0,0.0296055151837454
"mSp_rep7_217",0,0,0.0110416540521164,0,0.00609058164745304,0,0,0.0262857841546243
"mSp_rep7_383",0.000189640132200736,0.000762619125278917,0,0.000359534037697314,0.0111658845705131,0,0.0597585827892348,0.0202443817408371
"mSp_rep7_283",0,0,0.00248447414808619,0,0,0.118651658328346,0,0
"mSp_rep7_119",3.85172616690884e-05,0.000950802876704467,0.0103165386805225,0,0.00488485264881778,0.00247679598584696,0,0.0233170272485954
"mSp_rep7_293",0,0.000663043207564261,0,0.0534218376420256,0.00910166834364932,0,0.024493867313565,0
"mSp_rep7_034",0.139290472232314,0.02587069360354,0.00511684284998426,0.00324996185474739,0.000240927799877329,0,0,0.00313574720599029
"mSp_rep7_149",0.00465573644505966,0,0,0,0.0350967491850937,0,0.000412702072992817,0.00221712246695656
