"","V1","V2","V3","V4","V5","V6","V7","V8"
"mSp_rep7_171",0.00595674661230841,0.00349263083586051,0.0624433398055003,0.00368167971722121,0.00286595992309861,0,0.00459674117714922,0.00371026780948664
"mSp_rep7_202",0,0,0.00160767623006758,0.00648170717418196,0.0230702457145767,0.000251632461121282,0.0698872009617695,0.00136508154205595
"mSp_rep7_099",0.000881471478285803,0.000129454609027217,0.0568732233850547,0.00520945797222099,0.00125515939127571,0.00214461123474017,0,0.0115059589786151
"mSp_rep7_003",0.00171076342747376,0,0.0565978654840167,0.000788290248355246,0.00433692426655671,0.000682424603799885,0,0.0156974029080587
"mSp_rep7_066",0,0,0.0486593157534602,0.00663362922364802,0,0,0.00649085739797062,0.015738418438477
"mSp_rep7_316",0,0.00191414229722975,0.00363496114069397,0.0171859909477817,0.0191331223428393,0,0.0706214913515968,0
"mSp_rep7_133",0,0.00623266289755356,0.0420494073894625,0,0.00773109714079128,0.00445933079920852,0.00897552840350898,0.0147585426998761
"mSp_rep7_121",0,0,0.0599794710907078,0.00193533465507331,0.000947702709368022,0,0,0.0126971400083367
"mSp_rep7_233",0,0.0034979955593752,0.00719899812092279,0,0.026825559102747,0,0.0629563325255514,0.00111935970603823
"mSp_rep7_021",0,0,0.00387646584376594,0,0.0167037046203972,0.00358036375012518,0.0754810002385363,0
"mSp_rep7_183",0,0,0.0445497510182151,0,0.00538567636573351,0.00244137633045557,0.00369752203787691,0.0235599459906281
"mSp_rep7_369",0.00183393534947623,0.00346624705095616,0.0551893594770452,0,0,0,0.00411287429439231,0.0137430320914853
"mSp_rep7_269",0.000765297654008497,0.00110284882925566,0.0570727706068559,7.58718564580087e-06,0,0,0.00834793762384102,0.0109290214895252
"mSp_rep7_165",0.00424731417056042,0.00874592320497902,0.056901921880747,0,0,0.00404084785285544,0.00656280348286563,0.0101297928904721
"mSp_rep7_210",0.00180239442843445,0.00826734017661626,0.0621470838231451,0.00056288968286494,3.88865320372982e-05,0.00218951154080652,0,0.00640197668502685
"mSp_rep7_120",0.00393590529977805,0.00639877190107785,0.0592779106940107,0.00016945621193806,0.00471005014703931,0.000530033784786578,0,0.00580762080269745
"mSp_rep7_153",0.00820873010637225,0.00326122113189194,0.0583200371153118,0.00457693427337111,0.00302873244935497,0.0030350097002409,0.000984791301162787,0.00768519281732844
"mSp_rep7_170",0.00404374723331871,0.00638709581956907,0.0497091312946031,0,0.00139003739538226,0,0.00787423794997361,0.0130779999155096
"mSp_rep7_335",0.000280198768981931,0,0,0,0.0140008141944848,0,0.0871274164664633,0.00272703391670438
"mSp_rep7_139",0,0.000184105135860451,0.00230811467676335,0,0.0113314270420688,0.000276052566603431,0.0863002371481303,0.00113963830365967
"mSp_rep7_192",0,0.00387376734810695,0.0586241625938004,0,0.00405035364736275,0.00544159286122497,0.00603074871383184,0.00246357508987566
"mSp_rep7_259",0,0,0,0.00260269047968624,0.0192119994527276,0.00238635859568632,0.083925446498833,2.97858906582139e-05
"mSp_rep7_176",0,0.000541521697530184,0.000152770839520816,0.00593631525098325,0.0154352190951801,0,0.0791887018855116,0.00205704746658672
"mSp_rep7_049",0,0,0.0549316896168108,0,0,0,0.00407651675811112,0.0132792653199372
"mSp_rep7_075",0.00128561190402588,0,0.0555538507467489,0,0.00627041846666746,0,0,0.010667241793035
"mSp_rep7_266",0,0.0114134357261099,0.0547044870813527,0.00292686281996184,0,0.00130753427841355,0.00121404143651445,0.0132717582503259
"mSp_rep7_355",0.00192336087429791,0.0106431286967681,0.0573574098417186,0,0.00185836557266545,0.00231473624547351,0.000729009089791112,0.0138651625195318
"mSp_rep7_042",0.00739671028554276,0.000730597119183888,0,0,0.0199500299910592,0,0.0826818340876462,0
"mSp_rep7_017",0.0104996967443286,0.00983801136398761,0.0368036189268159,0,0.00241369418449413,0.0446170251307361,0.00929080764994437,0.00819975104115704
"mSp_rep7_011",0,0.0069352357256441,0.0526217327435205,3.84272962554752e-05,0.00424443074641225,0,0.0067865706140696,0.0094920431425452
"mSp_rep7_257",0.00312672846226949,0,0,0.0207971127596706,0.0184551713388779,0.00129615183296568,0.0655148307968046,0.00322293731029017
"mSp_rep7_147",0,0.000312518323797184,0.051840386933029,0.00268460815859782,0.000889933027071186,0,0.00530305374982232,0.0193125291037676
"mSp_rep7_201",0.00495745007210281,0.00418293277258834,0.0577124019986859,0.00227320357196091,0.000547645838710147,0.00522058515312968,0.00242646859013451,0.00759667247622473
"mSp_rep7_336",0.0056541714951009,0,0.0560183030428694,0,0.00285130538423774,0,0.0029293045308543,0.0157240589623292
"mSp_rep7_229",0.00105831138297369,0.00555476393460653,0.0597441415708556,0.00249369543569179,0.00229222006260693,0.00753872907632122,0,0.00662230012164442
"mSp_rep7_020",0.000303212393415854,0,0.00946488193829448,0.0758721532001861,0.000605435165667518,0.00388474217719665,0.0375424003914209,0
"mSp_rep7_172",0,0.00366264587620194,0.000157782623855757,0.0511968520087551,0.000235525529920243,0,0.0746503282800089,0.0020511344389317
"mSp_rep7_057",0.0784645679534118,0.0223195977632715,0.0171248361069893,0,0.00146860129408744,0.0533314640374969,0.00421386494145637,0
"mSp_rep7_240",0,0.00449678161725435,0.0580575032473153,0,0.00203438952637793,0,2.24615407065862e-05,0.0126410392872235
"mSp_rep7_077",0,0.00423965236763661,0.0637803938219421,0,0,0,0,0.010225083018671
"mSp_rep7_349",0,0.00492393818007944,0.00854334082971699,0.00134155038049948,0.0128413182580034,0,0.0703362443980996,0
"mSp_rep7_105",0,0,0.0616137464314335,0.00189572872330053,0.00174324416412079,0.000317556224500526,0.00269978106222443,0.0123154951812553
"mSp_rep7_308",0.00597888455029978,0,0.0536858239612601,0.000161809850379794,0.00110199402279301,0,0.00123922877594574,0.0184428161679963
"mSp_rep7_113",0,0.000433391353094533,0.0572993127915277,0.00756779934252121,0.00255214776182559,0.000234645477702752,0.00284384240724626,0.0123005297880947
"mSp_rep7_258",0.00392968667376501,0.00363937953936918,0.0607466351362757,0.00019800165458104,0.00180303100603754,0.00379591702409859,0,0.00869408173896648
"mSp_rep7_040",0.0667345216708134,0.033175734335026,0.0215700577318681,0.00176216650615761,0,0.0309859271037237,0.00541508277223093,0
"mSp_rep7_080",0.00434478932123365,0,0.0537629592143861,0,0,0,0.00718462123911858,0.0133916127953937
"mSp_rep7_255",0.0004881101289888,0.00389440276759296,0.000615238024394335,0,0.0157253110727178,0.00374545003117594,0.0768058414946589,0.000966492364695679
"mSp_rep7_278",0.00203772399198684,0.00512231953471086,0.0436517568393074,0,0,0.000641152797159881,0.00609773677486024,0.023531866439674
"mSp_rep7_073",0,0.00834040273343092,0.0561164622443504,0.00118460083311446,0.00354817281183743,0.001520892309776,0,0.0123177218171729
"mSp_rep7_090",0.00279894303991065,0,0.0571660614747259,0.000443306229124239,0.00404816425411287,0.00012053192721605,0.000518460890873345,0.00886623737155669
"mSp_rep7_029",0.00317821008708181,0.000729307520168325,0.00239121256452986,0,0.0173648515963981,0,0.0739849706582165,0.003662178037971
"mSp_rep7_261",4.80438853564256e-05,0.000865536703282761,0,0.00869290591108905,0.0139701971728141,0,0.0761511811193687,0.0003441586050358
"mSp_rep7_023",0,0.00101334296243321,0.0604194263701598,0,0.0027351593908019,0.00652732868542526,0,0.00743133754689309
"mSp_rep7_112",0,0.00729626718764406,0.045400564515411,0,0.000767332254746335,0.00251176019938807,0.00315209723694954,0.0210502122943099
"mSp_rep7_078",0.00385482979961973,0.0103247375366324,0.0490496517508086,0,0.00289110775362569,0,0.00308238496637837,0.0109862728720692
"mSp_rep7_217",0,0.00100466222728588,0.058770882927782,0,0.00439797264945759,0.000739280634640726,0.00177456405213832,0.00932019693334468
"mSp_rep7_383",0.00128298651065442,0.00261851725419837,0.000491026298459987,0,0.0124979181460047,0,0.084803191816793,0.00742163166319143
"mSp_rep7_283",0.011781203579123,0.0129046605731887,0.0110627474408718,0.00329830258537761,0.00145920268777884,0.106903436505987,0.0123128985935131,0.00258538698417946
"mSp_rep7_119",0.00172961978818005,0.00273186721691748,0.058181332911921,0.00107208184306424,0.00350719489015265,0.00572912433461686,0,0.00820269170347128
"mSp_rep7_293",0,0.00301474014303362,0,0.0333537398475599,0.00792463013021217,0.0015555654529366,0.0779849558946905,0.00154799636487605
"mSp_rep7_034",0.0585110540399143,0.0391561174415528,0.0217593559701759,0.00834206901971715,0,0.016641552341248,0.00715894865141986,0.0025053931905384
"mSp_rep7_149",0.00950367000962169,0,0,0,0.0196794939297262,0,0.0697360503849047,0.00088540658529246
"mSp_rep7_033",0.00192873964512988,0.00650830069447051,0.0506645316751805,0.000692465231503062,0.00591913733055678,0,0,0.015556950342958
"mSp_rep7_311",0.0021535368007369,0,0.0484857930886279,0,0.000361991287688977,0.00362022703058009,0.00636176925701022,0.0172998820710364
"mSp_rep7_063",0,0,0.00981654818202761,0.0755456619893565,0,0.00091871538239724,0.0396660970254265,0
"mSp_rep7_290",0,0.00306754314340908,0.0139675603657552,0.0890226218787197,0,0.00368840538369796,0.0271726054194132,0.00194011875021711
"mSp_rep7_356",0.0272990113199363,0.00671149775457626,0.00481601784632935,0,0.00244883582535048,0.129043725137674,0.00863899866183775,0
"mSp_rep7_235",0,0,0.0520233303666525,0,0,0.00452264337461105,0.00571488486358153,0.019012047566127
"mSp_rep7_271",0.00130684536508721,0.00191357095079793,0.00959814072900026,0.0693022117653175,0.000974172779878045,0,0.0408080648999565,0.00102220070402415
"mSp_rep7_012",0.000801586546872574,0.00226581289450407,0.0531744261822047,0,0.00557792221150158,0.00370966152049666,0,0.0176459519818799
"mSp_rep7_116",0.00169386352411801,0,0.0510539656606282,0.000560808700187946,0.0042192647803237,7.11994062633462e-05,0.00351803693959,0.0133739449458227
"mSp_rep7_254",0.00526696905986936,0,0.0525365090694237,0,0,0.00145328476334009,0.00392877680168876,0.018415743562487
"mSp_rep7_215",0.000385274628608527,0.000583432818219404,0.0392579709223135,0.00344723564786572,0,0.00396462529695222,0.00876819463006115,0.0305999266332754
"mSp_rep7_167",0,0.00358253807966185,0.0585036015379777,0,0,0.00377834754531903,0.00843618914938027,0.00890988237325119
"mSp_rep7_067",0.00177080983716755,0.00218764008182951,0.00167550119231477,0.00459192245598638,0.0235735917426928,0,0.0696781935260731,0
"mSp_rep7_174",0.00509101272889197,0,0.000807014531770292,0.0007998704488203,0.0223203578289441,0,0.0661614027660214,0.00419143413767513
"mSp_rep7_194",0,0.00364645316261223,0.0496559657267987,0.00198416646496982,0.000635683879471061,0.00717962298977294,0.00644292081854375,0.0159177068262422
"mSp_rep7_313",0,0.00195387045277666,0.0523976696887288,0.00261120654835843,0.00109528968582413,0.000680976617004927,0,0.0164779079166414
"mSp_rep7_343",0.00429782925408435,0,0.0521372147333874,0,0,0.00093651056665118,0.00936016516192807,0.0135673869440946
"mSp_rep7_062",0.0031798274166477,0,0.0535423135014958,0.00516945581362712,0,0.00063845083600179,0.010054960425415,0.00881059435895256
"mSp_rep7_117",0.00526292658721078,0.0123157822199468,0.0590831333559058,0.00286569571308258,0.00111246326163822,0.000889271379306919,0.000356555428236235,0.0076565845066645
"mSp_rep7_161",0.00696515468059795,0.00334591133985324,0.0456312395120438,0,0.00330340467111633,0,0.00410432620961498,0.0174779695310125
"mSp_rep7_010",0,0.000968680868800498,0,0.00219843446258029,0.0258940971522338,0.00100784979999579,0.0719003610032784,0.00168101223846449
"mSp_rep7_065",0,0.00591870821249855,0.0530967132920336,0.000907566955509653,0,0,0.0010080278814625,0.0193234632306968
"mSp_rep7_224",0,0,0.037315191015576,0.00171642177657861,0.00056455205312174,0.00220086673281194,0.0157039243861611,0.0256022425870956
"mSp_rep7_279",0,0.00148418958898291,0.0542925217023462,0.000745464678029824,0,0.00104299204095704,0.00232582925588877,0.0160615113440885
"mSp_rep7_375",0.002536149214698,0.00552968285555706,0.0531849927521404,0.00399476414140643,0.00204812558648396,0.000280239459152179,0,0.0173544495203143
"mSp_rep7_123",0,0.000129037626377754,0.0475712775617042,0,0.00219149546220279,0,0.00660749627539997,0.0240492425676644
"mSp_rep7_050",0.017402894653479,0.0101005756594051,0.0420263264392309,0.00425623019119449,0,0,0.0312785559548455,0
"mSp_rep7_241",0.00227263787885413,0.00980999807645262,0.00778219733702366,0.00258218602085924,0.0135835863568684,0,0.0670455868430718,0.000702412430400396
"mSp_rep7_100",0.0044718237397869,0.00327661935676443,0.0531401304519821,0.00111576906841362,0.00853792743428095,0.00443934671058999,0,0.00935355032855723
"mSp_rep7_135",1.68717559970096e-05,0,0,0.00870504067464063,0.0175322897131996,0.000807425945129071,0.0798285437662612,0.00300898847258148
"mSp_rep7_131",0.00339340747204826,0.000368790123053685,0.0610901428463909,0.00805076884951531,0.00508686059993251,0.00600891070511118,0.000440710717968037,0.00536565979745478
"mSp_rep7_333",0,0,0.0644187445795787,0,0,0.00117939402456459,0.00182371900147816,0.0101169868768252
"mSp_rep7_226",0.00117434596163874,0.00118642884287994,0,0.0377818622313544,0.00879289743139457,0,0.0562416899657371,0.00388321696993238
"mSp_rep7_160",0,0.00822502430509836,0.00419015362359293,0,0.0165165975110314,0,0.0721455166927174,0
"mSp_rep7_134",0,0,0.00302958954556831,0.00214619731304346,0.0104061856612193,0.00203197704048892,0.0794178899267867,0
"mSp_rep7_353",0.00130190188957131,0,0.00410978774668565,0.00844663988249568,0.0232177297391238,0.00293575302726089,0.0514307220058371,0.00622195686233172
"mSp_rep7_205",0,0,0.0444514869262963,0.00175620305271663,0,0,0.00490204712348547,0.0166594092491457
"mSp_rep7_129",0.00998544539801006,0.0053813623782918,0.0538126164208933,0.00231804977872987,0.00120216141406466,0.00348975558996689,0.00525249759324305,0.0137963980133333
"mSp_rep7_175",0,0.00155785579601068,0.00731106864981364,0.00543655209610539,0.0306247785345761,0.000750178205729093,0.0639445135858091,0
"mSp_rep7_277",0.002343079708734,0,0.0516228007669881,0,0,0.000560013877166357,0.00569369232599731,0.0188926854764552
"mSp_rep7_061",0.000322388781805856,0.000143349329615091,0.048450865337224,0.00278916628495546,0.00512502151619074,0.00423762722760055,0.00442565381774266,0.0160098716850688
"mSp_rep7_053",0.00332114732020982,0.00719552059926044,0.0591831207522274,0.00598366457965537,0.00343391826606178,0.00140112846642112,0,0.00860014137366099
"mSp_rep7_018",0,0.0064073755407538,0.000703692034421602,0.00210265420804033,0.0235478271898254,0.000663335673587172,0.0703860986100794,0.00322763278456088
"mSp_rep7_342",0,0,0.00633311514089669,0.00387661847463296,0.0105272330516637,0,0.0715443741760289,0
"mSp_rep7_048",0.0376694623275127,0.0277779109755637,0.0244799094981618,0.00493909837724572,0,0.0115699522622762,0.0292181040010923,0
"mSp_rep7_137",0,0.0191595570451451,0.0577538574508238,0,0,0,0,0.0142176953012878
"mSp_rep7_083",0,0.000827190983918066,0.0590526489150506,0.000503737204969144,0,0.00335081868547064,0.000433851925793482,0.013694675169264
"mSp_rep7_228",0.00211798395899239,0.00450208498326707,0,0.00942114421324189,0.0138571367957155,0,0.0787207479125212,0
"mSp_rep7_221",0,0.000806867777019211,0.0513640448664317,0.00420300439689031,0,0.00206733893301292,0,0.0163928975580185
"mSp_rep7_166",0.000310974967799452,0.00261743612272405,0.0591479269102345,0.000344041364915612,0.000890047871865217,0,0,0.0145626044099726
"mSp_rep7_070",0,0.00301748444459854,0.0529472292010561,0.00127073480071934,0,0,0.00783523147099516,0.0108942174970531
"mSp_rep7_203",0.00020962298323791,0,0.0608692789018841,0.00150298770466596,0,0.000283557511705552,0.00354523879070854,0.00919703243692454
"mSp_rep7_030",0.00122575311862305,0.00667094211804904,0.00332914031953495,0.00130138681865446,0.0181065084699005,0,0.0785998610929796,0
"mSp_rep7_025",0.00323223982451665,0,0,0.00167666480853246,0.017865483138109,0.00307340436000917,0.0721467767800142,0.00542788974923086
"mSp_rep7_263",0,0,0.0501370478134976,0,0,0.00392367615193585,0.00442012924327694,0.0233110941391387
"mSp_rep7_019",0,0.00608339097998235,0.0552078892086024,0,0.00180186419897845,0,0.00383814852286631,0.0136876699016791
"mSp_rep7_087",0,0.00612921807320287,0.0508768263600962,0.0013265965054212,0.0017644453439653,1.22177041141739e-05,0.0017382420248785,0.0220630951996033
"mSp_rep7_216",0,0.000753690287789996,0.00520201204228246,0.0123399958571813,0.0146610198452216,0.000315603061772047,0.0687729404116569,0.00146464684891354
"mSp_rep7_206",0.00678182075319317,0.00285600533914559,0,0,0.0159052273509444,0,0.081137951644049,0
"mSp_rep7_127",0.0466528365742239,0.0550545963050846,0.0169929169148026,0.00441600544589994,0,0.00858171380196669,0.0204069648291704,0.000850844970234916
"mSp_rep7_138",0.0213709138273114,0.008822793399013,0,0.00194222965088323,0.000739187576887655,0.138402346371647,0.00974832154685461,0.00650477043344902
"mSp_rep7_352",0.00353723819600439,0.00243122566388315,0.053960069035299,0.000391639439054076,0.00303024955783959,0.00757258937619066,0.0032155321735233,0.0114867434295013
"mSp_rep7_245",0.00655472687309337,0.00622074773163617,0.0523761678633131,0.000992240452380122,0.00319585283380536,0.00517864280899584,0.0051996652900972,0.0102492389269623
